,S0,S100,S150,S50
S0,1.0,0.9999999998686233,0.9999999999486087,0.9999999999385414
S100,0.9999999998686233,1.0,0.9999999998929928,0.9999999998664358
S150,0.9999999999486087,0.9999999998929928,1.0,0.9999999999384098
S50,0.9999999999385414,0.9999999998664358,0.9999999999384098,1.0
