Performance,Mean,STD,Variance,MAX,MIN
Accuracy,0.8035174724265215,0.13170187431583238,0.017345383698303306,0.89841749671352,0.32702284946236565
Recall,0.8031991877564851,0.13155386325578547,0.017306418937521904,0.9018657725755891,0.32702284946236565
Precision,0.7952404443068855,0.17896315448095446,0.032027810661773966,0.9101835090611944,0.21755813448220415
F1,0.7808279574870264,0.16664103045138873,0.027769233029900666,0.8939322629232661,0.25927776037170297
