,BETA,C,D,FGI,GAMMA,GB,IB,KGJ,KLG,KLJ,KSJ,KXG,KXGI,KXI,LAMBDA1,TAU
BETA,1.0,0.03709583123373184,0.02932234078069194,0.15961002298404567,-0.02198060042076472,0.07255589121195603,-0.02637456253529063,0.01869554230084739,0.11293147117795592,0.01156076143001199,-0.06615796995873421,-0.007217136590956969,-0.026612798201381405,-0.01991004993710699,-0.033908109373372686,0.007317221403787934
C,0.03709583123373184,1.0,-0.10895438294015507,0.06724041150821025,0.0021564123911362834,0.012191237814501737,-0.028276779174185415,-0.025334243780430317,0.05806361910749857,-0.06623411676453747,-0.01700318954937154,0.14340251199392703,0.03183570760327564,-0.02719012329250041,-0.04124679817228744,-0.06030691683660937
D,0.02932234078069194,-0.10895438294015507,1.0,-0.017600538130457533,-0.01490189929121818,-0.025309258611455093,0.027508325944684046,-0.013512453267896922,-0.040117534278738445,0.0414280940224704,-0.055314304670455,-0.03478414459318115,-0.07708952251014446,-0.009869199404247919,-0.017436559013108286,-0.0168811256158003
FGI,0.15961002298404567,0.06724041150821025,-0.017600538130457533,1.0,0.060692685220191625,-0.013113407064290766,0.05254791281289754,-0.02484703445253488,0.14856897833790905,0.04432569160426227,-0.03728549303445828,-0.0049011477379413805,0.026657556117995095,0.02967877802650487,0.020224516883539035,0.02798127746613562
GAMMA,-0.02198060042076472,0.0021564123911362834,-0.01490189929121818,0.060692685220191625,1.0,0.0011375440391653401,0.0017532569984515082,0.03887684624106084,0.06978571470205544,-0.052307799224834355,0.05419627902779082,0.11790089941778559,-0.013799678727973327,-0.03623814574112146,0.008502812221079676,-0.09829472783681853
GB,0.07255589121195603,0.012191237814501737,-0.025309258611455093,-0.013113407064290766,0.0011375440391653401,1.0,0.059884899033228176,-0.034336859004924725,-0.043420696230659694,-0.004657885951436976,-0.0027897982243300654,0.04245127924245859,-0.044296740696212825,-0.04420223405688573,0.023487180116534577,-0.010412219970821548
IB,-0.02637456253529063,-0.028276779174185415,0.027508325944684046,0.05254791281289754,0.0017532569984515082,0.059884899033228176,1.0,-0.019023641360338447,0.002441821702892765,-0.016126918065346312,0.010021340294765408,-0.020515221125045276,0.03484114606444321,0.00632481503033944,0.012822890316903634,0.056063777196509866
KGJ,0.01869554230084739,-0.025334243780430317,-0.013512453267896922,-0.02484703445253488,0.03887684624106084,-0.034336859004924725,-0.019023641360338447,1.0,-0.03664558586790144,0.3079043270570338,-0.024048336252881504,0.012843933105482425,-0.0397822813091055,0.0475939718141221,-0.012642514846597088,0.1173668704162554
KLG,0.11293147117795592,0.05806361910749857,-0.040117534278738445,0.14856897833790905,0.06978571470205544,-0.043420696230659694,0.002441821702892765,-0.03664558586790144,1.0,-0.01856713956552042,0.007331062215009364,-0.022536036329679654,-0.015208170967097664,-0.03218814759715014,0.01590290324979029,-0.11822075334404536
KLJ,0.01156076143001199,-0.06623411676453747,0.0414280940224704,0.04432569160426227,-0.052307799224834355,-0.004657885951436976,-0.016126918065346312,0.3079043270570338,-0.01856713956552042,1.0,0.039206090930726405,-0.06544963705212714,-0.014709387749074715,0.014733526048940501,-0.032211758107572964,0.10043171548240803
KSJ,-0.06615796995873421,-0.01700318954937154,-0.055314304670455,-0.03728549303445828,0.05419627902779082,-0.0027897982243300654,0.010021340294765408,-0.024048336252881504,0.007331062215009364,0.039206090930726405,1.0,0.2147738504818769,-0.002415412199958089,0.008184151154849597,-0.0463515581715201,-0.020574576075372143
KXG,-0.007217136590956969,0.14340251199392703,-0.03478414459318115,-0.0049011477379413805,0.11790089941778559,0.04245127924245859,-0.020515221125045276,0.012843933105482425,-0.022536036329679654,-0.06544963705212714,0.2147738504818769,1.0,-0.0580058308209704,0.0008324853131775242,-0.07569906074786906,-0.01083013159746067
KXGI,-0.026612798201381405,0.03183570760327564,-0.07708952251014446,0.026657556117995095,-0.013799678727973327,-0.044296740696212825,0.03484114606444321,-0.0397822813091055,-0.015208170967097664,-0.014709387749074715,-0.002415412199958089,-0.0580058308209704,1.0,-0.014153215881166414,0.06307957294998119,0.04927544711105941
KXI,-0.01991004993710699,-0.02719012329250041,-0.009869199404247919,0.02967877802650487,-0.03623814574112146,-0.04420223405688573,0.00632481503033944,0.0475939718141221,-0.03218814759715014,0.014733526048940501,0.008184151154849597,0.0008324853131775242,-0.014153215881166414,1.0,0.007709328018098168,0.03298048856023472
LAMBDA1,-0.033908109373372686,-0.04124679817228744,-0.017436559013108286,0.020224516883539035,0.008502812221079676,0.023487180116534577,0.012822890316903634,-0.012642514846597088,0.01590290324979029,-0.032211758107572964,-0.0463515581715201,-0.07569906074786906,0.06307957294998119,0.007709328018098168,1.0,0.006661056421150735
TAU,0.007317221403787934,-0.06030691683660937,-0.0168811256158003,0.02798127746613562,-0.09829472783681853,-0.010412219970821548,0.056063777196509866,0.1173668704162554,-0.11822075334404536,0.10043171548240803,-0.020574576075372143,-0.01083013159746067,0.04927544711105941,0.03298048856023472,0.006661056421150735,1.0
