,AAMt,AAWt,Clinical,Functionalrelevancefunction,MOSST,Positionaccept,Positiontype,ProteinPropens,Result,SaccM,SaccW,SectorSuperficie,ShbondsM,ShbondsW,Sstruct,yDDG
AAMt,1.0,0.2357331731238783,0.033017141226124494,-0.04730582011259989,-0.15470160931182933,-0.06673152189343656,-0.09154991092705424,0.05139531346335897,0.2653159194444655,-0.11889017019408021,-0.059777775956285945,0.0943453415327666,0.12669182765938938,0.05695047431082033,0.017356723780161357,-0.36638289010263797
AAWt,0.2357331731238783,1.0,0.10477477065573766,-0.11737419353977087,-0.09820811399596342,0.04593699816319992,-0.08779041656575204,0.08019995464058544,0.15581460447989237,-0.16929458070141118,-0.17610844349926777,-0.03911356618902642,0.18491847081572163,0.3219846978500756,-0.0027747567779506607,-0.2368551332386132
Clinical,0.033017141226124494,0.10477477065573766,1.0,-0.04926526459906374,-0.15447943795225627,0.1604115416050244,0.04710420256126311,-0.10346249561391269,0.1280672443601593,-0.09720020592261853,-0.07871148279340566,0.03169351685156869,-0.04347753607211537,0.021009853762596266,-0.08918064669405332,-0.1034559481242046
Functionalrelevancefunction,-0.04730582011259989,-0.11737419353977087,-0.04926526459906374,1.0,-0.11433521900563769,0.14154342079021867,0.15365003696719262,-0.014558257045467902,-0.10789181842285717,-0.05643080060435139,-0.10920276890361641,0.008851940334963684,-0.11325064102645473,-0.18068683885570597,0.07181837935652455,0.13556534741802265
MOSST,-0.15470160931182933,-0.09820811399596342,-0.15447943795225627,-0.11433521900563769,1.0,-0.7001035363521464,-0.5705235393248129,0.5407259188167599,-0.08195542894537797,0.23414803081101745,0.25684657171373376,0.057270286520250346,-0.10086336860688191,-0.14136198523464213,-0.0017077786397236498,0.13190650918546995
Positionaccept,-0.06673152189343656,0.04593699816319992,0.1604115416050244,0.14154342079021867,-0.7001035363521464,1.0,0.6828485918954388,-0.5080609278979303,0.025076634993973362,-0.22919122699499278,-0.2721398243649584,-0.10987857836206542,0.041565606691069436,0.08554832167367879,-0.09509079970539892,-0.04488703213648134
Positiontype,-0.09154991092705424,-0.08779041656575204,0.04710420256126311,0.15365003696719262,-0.5705235393248129,0.6828485918954388,1.0,-0.4936477802271781,-0.028994975533772015,-0.15092272211416335,-0.1565289018604113,-0.181431283918232,0.04817483018295399,0.10213346121312479,-0.07370654512816478,-0.011703260549469517
ProteinPropens,0.05139531346335897,0.08019995464058544,-0.10346249561391269,-0.014558257045467902,0.5407259188167599,-0.5080609278979303,-0.4936477802271781,1.0,0.01914147890207077,0.07430644234081826,0.06015319580740551,0.08940779792016977,0.013256946369740686,-0.144215913288545,-0.033328402633906795,-0.02884922497271824
Result,0.2653159194444655,0.15581460447989237,0.1280672443601593,-0.10789181842285717,-0.08195542894537797,0.025076634993973362,-0.028994975533772015,0.01914147890207077,1.0,-0.02858813730774595,-0.04099675043943542,0.0033770943009386275,0.09164970968298039,0.056373630479154314,-0.04622838317121309,-0.734744558805778
SaccM,-0.11889017019408021,-0.16929458070141118,-0.09720020592261853,-0.05643080060435139,0.23414803081101745,-0.22919122699499278,-0.15092272211416335,0.07430644234081826,-0.02858813730774595,1.0,0.9011713444895559,-0.10935145540620497,-0.3735765076337011,-0.23654314780859242,-0.28650038205607403,0.14442809454586772
SaccW,-0.059777775956285945,-0.17610844349926777,-0.07871148279340566,-0.10920276890361641,0.25684657171373376,-0.2721398243649584,-0.1565289018604113,0.06015319580740551,-0.04099675043943542,0.9011713444895559,1.0,-0.0752101464565811,-0.30244359105967683,-0.28541176316392924,-0.23312571832630669,0.1491918427001478
SectorSuperficie,0.0943453415327666,-0.03911356618902642,0.03169351685156869,0.008851940334963684,0.057270286520250346,-0.10987857836206542,-0.181431283918232,0.08940779792016977,0.0033770943009386275,-0.10935145540620497,-0.0752101464565811,1.0,0.14315334324076534,-0.05903172484665541,0.10786741245270351,0.011582085498332178
ShbondsM,0.12669182765938938,0.18491847081572163,-0.04347753607211537,-0.11325064102645473,-0.10086336860688191,0.041565606691069436,0.04817483018295399,0.013256946369740686,0.09164970968298039,-0.3735765076337011,-0.30244359105967683,0.14315334324076534,1.0,0.27032369257131056,0.20675921719287707,-0.19445871452668884
ShbondsW,0.05695047431082033,0.3219846978500756,0.021009853762596266,-0.18068683885570597,-0.14136198523464213,0.08554832167367879,0.10213346121312479,-0.144215913288545,0.056373630479154314,-0.23654314780859242,-0.28541176316392924,-0.05903172484665541,0.27032369257131056,1.0,0.011729321036435841,-0.09983872071792592
Sstruct,0.017356723780161357,-0.0027747567779506607,-0.08918064669405332,0.07181837935652455,-0.0017077786397236498,-0.09509079970539892,-0.07370654512816478,-0.033328402633906795,-0.04622838317121309,-0.28650038205607403,-0.23312571832630669,0.10786741245270351,0.20675921719287707,0.011729321036435841,1.0,0.051085901499634136
yDDG,-0.36638289010263797,-0.2368551332386132,-0.1034559481242046,0.13556534741802265,0.13190650918546995,-0.04488703213648134,-0.011703260549469517,-0.02884922497271824,-0.734744558805778,0.14442809454586772,0.1491918427001478,0.011582085498332178,-0.19445871452668884,-0.09983872071792592,0.051085901499634136,1.0
