,G120,G30,G60,G90,GB,P1
G120,1.0,0.34286865207012895,0.4725070603541925,0.6060256933057153,0.21386184733598834,-0.038021045374943406
G30,0.34286865207012895,1.0,0.48482928119647806,0.34994545587487813,0.2898041472157702,0.014141295649223428
G60,0.4725070603541925,0.48482928119647806,1.0,0.6700268050996283,0.11450430987124612,0.002418641331714972
G90,0.6060256933057153,0.34994545587487813,0.6700268050996283,1.0,0.13260425410130047,0.07660013590562054
GB,0.21386184733598834,0.2898041472157702,0.11450430987124612,0.13260425410130047,1.0,0.044203358666865235
P1,-0.038021045374943406,0.014141295649223428,0.002418641331714972,0.07660013590562054,0.044203358666865235,1.0
