,G120,G30,G60,G90,GB,P1
G120,1.0,0.4088505461109511,0.44690486917349226,0.4243580438202806,0.25382541396497155,0.7749523018452762
G30,0.4088505461109513,1.0,0.4376519182119542,0.42073033026921147,0.23723189743652107,0.7717366713809533
G60,0.4469048691734925,0.4376519182119541,1.0,0.4613025284239594,0.27994026710241243,0.8001947976641147
G90,0.424358043820281,0.42073033026921114,0.4613025284239594,1.0,0.26466975914203744,0.7847384993856412
GB,0.25382541396497155,0.23723189743652096,0.27994026710241243,0.2646697591420375,1.0,0.6593954504877282
P1,0.7749523018452731,0.7717366713809508,0.8001947976641138,0.7847384993856394,0.659395450487729,1.0
