property,group
OOBM770101,group-2
RACS770101,group-2
RACS770102,group-2
RACS770103,group-2
MIYS990103,group-2
MIYS990102,group-2
MIYS990101,group-2
NAKH900103,group-2
MIYS850101,group-2
NAKH900104,group-2
NAKH900105,group-2
CHOP780207,group-2
CHOP780206,group-2
FUKS010110,group-2
FUKS010112,group-2
LEVM780101,group-2
VINM940101,group-2
RACS820103,group-2
AURR980106,group-2
AURR980107,group-2
RACS820102,group-2
NAKH900112,group-2
RACS820104,group-2
RACS820105,group-2
RACS820106,group-2
RACS820107,group-2
FUKS010101,group-2
FUKS010105,group-2
KUMS000103,group-2
CORJ870103,group-2
KUMS000104,group-2
RICJ880114,group-2
FASG760105,group-2
MIYS990105,group-2
ROSG850102,group-2
CHOC760102,group-2
NADH010101,group-2
OOBM850104,group-2
FASG890101,group-2
RICJ880107,group-2
FASG760104,group-2
RICJ880105,group-2
JURD980101,group-2
MEIH800102,group-2
MEIH800103,group-2
MEIH800101,group-2
SUYM030101,group-2
CHAM830108,group-2
PALJ810112,group-2
AVBF000107,group-2
RADA880101,group-2
GUYH850104,group-2
GUYH850103,group-2
GUYH850102,group-2
RADA880108,group-2
WERD780101,group-2
NOZY710101,group-2
NISK800101,group-2
FAUJ830101,group-2
JANJ780101,group-2
TANS770108,group-2
JANJ780103,group-2
JANJ780102,group-2
OLSK800101,group-2
OOBM770102,group-2
TANS770105,group-2
TANS770107,group-2
ROBB790101,group-2
CHOC760103,group-2
JANJ790101,group-2
JANJ790102,group-2
CHOC760104,group-2
BIOV880102,group-2
BIOV880101,group-2
KUHL950101,group-2
QIAN880108,group-2
QIAN880109,group-2
QIAN880107,group-2
ROBB760113,group-2
ROBB760110,group-2
BASU050101,group-2
BASU050102,group-2
MIYS990104,group-2
NISK860101,group-2
KYTJ820101,group-2
PUNT030101,group-2
CORJ870106,group-3
CORJ870107,group-3
CORJ870104,group-3
CORJ870105,group-3
QIAN880131,group-3
QIAN880130,group-3
QIAN880133,group-3
QIAN880132,group-3
AURR980119,group-3
CORJ870108,group-3
KOEP990102,group-3
FAUJ880108,group-3
FAUJ880104,group-3
BEGF750103,group-3
CIDH920103,group-3
ZASB820101,group-3
AURR980114,group-3
GOLD730101,group-3
RACS820114,group-3
PALJ810101,group-3
RACS820112,group-3
WERD780104,group-3
VINM940104,group-3
CHOP780203,group-3
GEIM800109,group-3
GEIM800108,group-3
PTIO830101,group-3
GEIM800107,group-3
MANP780101,group-3
QIAN880104,group-3
GEIM800102,group-3
QIAN880126,group-3
QIAN880127,group-3
QIAN880125,group-3
PRAM900104,group-3
QIAN880123,group-3
QIAN880120,group-3
CHAM820102,group-3
MUNV940104,group-3
LEVM780103,group-3
MUNV940103,group-3
VINM940102,group-3
VINM940103,group-3
MUNV940105,group-3
WIMW960101,group-3
LEVM780106,group-3
FINA910103,group-3
BUNA790103,group-3
RACS820113,group-3
ZIMJ680101,group-3
LIFS790102,group-3
LIFS790101,group-3
AURR980103,group-3
PONP800106,group-3
WARP780101,group-3
KARS160118,group-3
CHOP780216,group-3
KANM800102,group-3
MAXF760101,group-3
MAXF760102,group-3
MAXF760103,group-3
MAXF760104,group-3
GEIM800110,group-3
GEIM800111,group-3
YUTK870104,group-4
KIDA850101,group-4
PONP800101,group-4
ROBB760105,group-4
YUTK870103,group-4
YUTK870102,group-4
KLEP840101,group-4
PARJ860101,group-4
KOEP990101,group-4
PONP930101,group-4
VASM830102,group-4
PONP800108,group-4
ROBB760107,group-4
RACS820111,group-4
RACS820110,group-4
PONP800102,group-4
PONP800103,group-4
WILM950102,group-4
CORJ870101,group-4
AURR980118,group-4
PONP800104,group-4
ISOY800106,group-4
GEIM800105,group-4
KARS160106,group-4
FUKS010111,group-4
ISOY800108,group-4
PRAM900101,group-4
PRAM900103,group-4
KARS160120,group-4
NAKH920107,group-4
LEVM780102,group-4
MUNV940102,group-4
PLIV810101,group-4
QIAN880128,group-4
MUNV940101,group-4
WOLS870101,group-4
FINA910101,group-4
ZIMJ680103,group-4
TANS770106,group-4
KARS160113,group-4
WERD780102,group-4
WEBA780101,group-4
ZHOH040101,group-4
ZHOH040102,group-4
VENT840101,group-4
ENGD860101,group-4
QIAN880119,group-4
KARS160111,group-4
KARS160112,group-4
WOLR810101,group-4
KARS160114,group-4
KARS160115,group-4
KARS160116,group-4
GUYH850105,group-5
NAKH920101,group-5
NAKH920102,group-5
GEOR030104,group-5
ARGP820101,group-5
RADA880107,group-5
RICJ880116,group-5
RICJ880117,group-5
EISD860101,group-5
FAUJ880109,group-5
ROSG850101,group-5
TANS770110,group-5
FAUJ880101,group-5
KANM800103,group-5
PALJ810106,group-5
NAKH900106,group-5
AURR980110,group-5
NADH010107,group-5
JOND750101,group-5
ISOY800103,group-5
ISOY800102,group-5
KARS160109,group-5
FUKS010104,group-5
BASU050103,group-5
BULH740101,group-5
CHOP780101,group-5
RICJ880106,group-5
OOBM770103,group-5
RICJ880108,group-5
MONM990201,group-5
PALJ810115,group-5
TANS770101,group-5
SIMZ760101,group-5
YANJ020101,group-5
KARP850103,group-5
FAUJ880113,group-5
AVBF000109,group-5
RACS820109,group-5
AVBF000101,group-5
CHAM830105,group-5
CHOP780212,group-5
EISD840101,group-5
CHAM830102,group-5
ROBB760103,group-6
ROBB760102,group-6
YUTK870101,group-6
WILM950101,group-6
ROBB760106,group-6
NAKH920108,group-6
AVBF000106,group-6
HUTJ700103,group-6
KHAG800101,group-6
RICJ880113,group-6
NAKH920105,group-6
EISD860103,group-6
DESM900102,group-6
NAKH920104,group-6
CIDH920101,group-6
AURR980115,group-6
VASM830101,group-6
AURR980111,group-6
HUTJ700102,group-6
FINA770101,group-6
TANS770104,group-6
LEVM760106,group-6
ISOY800105,group-6
BURA740101,group-6
DESM900101,group-6
PALJ810116,group-6
BULH740102,group-6
RICJ880109,group-6
FINA910104,group-6
WOLR790101,group-6
AVBF000102,group-6
NAKH900111,group-6
PRAM820103,group-6
CHAM830103,group-6
JACR890101,group-6
CHAM830107,group-6
KRIW790102,group-6
CHOP780213,group-6
KARS160110,group-6
QIAN880116,group-6
FUKS010108,group-6
GEOR030107,group-7
ROBB760101,group-7
KUMS000101,group-7
SNEP660104,group-7
SNEP660102,group-7
GEOR030106,group-7
BHAR880101,group-7
QIAN880139,group-7
QIAN880138,group-7
GEOR030108,group-7
BAEK050101,group-7
NAKH900113,group-7
FAUJ880107,group-7
BEGF750101,group-7
FAUJ880102,group-7
PALJ810102,group-7
JOND750102,group-7
CHOP780201,group-7
ISOY800101,group-7
RICJ880115,group-7
QIAN880102,group-7
QIAN880105,group-7
QIAN880106,group-7
PARS000102,group-7
AURR980104,group-7
DIGM050101,group-7
AVBF000108,group-7
QIAN880129,group-7
MEEJ810102,group-7
KUMS000102,group-7
TANS770103,group-7
OOBM770104,group-7
MEEJ810101,group-7
RACS820101,group-7
OOBM850105,group-7
AURR980105,group-7
AURR980101,group-7
MITS020101,group-7
TAKK010101,group-7
KANM800101,group-7
MEEJ800101,group-8
QIAN880136,group-8
NAGK730102,group-8
PTIO830102,group-8
GUOD860101,group-8
ZIMJ680102,group-8
BLAM930101,group-8
AURR980113,group-8
AURR980112,group-8
PONP800107,group-8
LEVM760104,group-8
LEVM760103,group-8
CHOP780208,group-8
FUKS010106,group-8
ROBB760112,group-8
RICJ880102,group-8
RICJ880101,group-8
ROBB760111,group-8
FINA910102,group-8
BUNA790102,group-8
BUNA790101,group-8
KARS160119,group-8
WOEC730101,group-8
FUKS010107,group-8
KRIW710101,group-8
CHOP780214,group-8
CHOP780215,group-8
QIAN880114,group-8
QIAN880113,group-8
ONEK900102,group-8
ONEK900101,group-8
QIAN880135,group-9
QIAN880134,group-9
GUYH850101,group-9
NAGK730101,group-9
GRAR740101,group-9
GEOR030109,group-9
SNEP660103,group-9
NAKH900102,group-9
AURR980117,group-9
PALJ810103,group-9
CHAM810101,group-9
QIAN880121,group-9
LEVM760107,group-9
GEIM800101,group-9
SUEM840101,group-9
PRAM900102,group-9
QIAN880122,group-9
RICJ880104,group-9
LEVM780104,group-9
LEVM780105,group-9
FAUJ880110,group-9
MONM990101,group-9
CRAJ730103,group-9
KANM800104,group-9
COWR900101,group-9
KIMC930101,group-9
QIAN880118,group-9
FUKS010109,group-9
MCMT640101,group-9
CORJ870102,group-10
BEGF750102,group-10
PALJ810105,group-10
PALJ810104,group-10
SUEM840102,group-10
FAUJ880112,group-10
SWER830101,group-10
CHOP780202,group-10
CHOP780211,group-10
GEIM800106,group-10
BROC820102,group-10
BROC820101,group-10
KARP850101,group-10
KARP850102,group-10
LAWE840101,group-10
LIFS790103,group-10
FAUJ880111,group-10
AURR980102,group-10
AURR980108,group-10
AURR980109,group-10
FUKS010102,group-10
CHOP780210,group-10
ZHOH040103,group-10
QIAN880110,group-10
FUKS010103,group-11
RADA880103,group-11
RADA880102,group-11
RADA880105,group-11
RADA880104,group-11
KARS160122,group-11
NADH010105,group-11
NADH010104,group-11
NADH010106,group-11
PALJ810114,group-11
NADH010103,group-11
NADH010102,group-11
TANS770109,group-11
RADA880106,group-11
WOLS870103,group-11
PRAM820102,group-11
KARS160108,group-11
QIAN880101,group-11
RACS820108,group-11
ZIMJ680105,group-11
KRIW790101,group-11
NAKH900110,group-12
NAKH920103,group-12
HUTJ700101,group-12
AVBF000103,group-12
CHAM830101,group-12
RICJ880110,group-12
CHAM830106,group-12
RICJ880112,group-12
CHAM830104,group-12
EISD860102,group-12
HOPA770101,group-12
