,s0,s1,s2,s3,s4,s5
s0,1.0,0.9976195842142401,0.9999895276196643,0.9952972072313856,0.9933169993195108,0.9936925100506241
s1,0.9976195842142401,1.0,0.9978852983681473,0.9922413299387615,0.9968861757706537,0.9977594831533377
s2,0.9999895276196643,0.9978852983681473,1.0,0.995458742637113,0.99382141032225,0.993918599431574
s3,0.9952972072313856,0.9922413299387615,0.995458742637113,1.0,0.9951787162740061,0.9822480095825737
s4,0.9933169993195108,0.9968861757706537,0.99382141032225,0.9951787162740061,1.0,0.990345511810151
s5,0.9936925100506241,0.9977594831533377,0.993918599431574,0.9822480095825737,0.990345511810151,1.0
