,P1,P2,P3,P4,P5,P6
P1,1.0,0.9781954582206017,0.9368800620771177,0.980634790631144,0.6454122925471651,-0.8733860863672762
P2,0.9781954582206017,1.0,0.9786420720777016,0.9997815131174869,0.7295205936682191,-0.9543102231970277
P3,0.9368800620771177,0.9786420720777016,1.0,0.9741852363472844,0.8545417940101239,-0.9757898865336487
P4,0.980634790631144,0.9997815131174869,0.9741852363472844,1.0,0.7152397095048197,-0.949176224820024
P5,0.6454122925471651,0.7295205936682191,0.8545417940101239,0.7152397095048197,1.0,-0.8357687870653203
P6,-0.8733860863672762,-0.9543102231970277,-0.9757898865336487,-0.949176224820024,-0.8357687870653203,1.0
