,c2,c3,c6,c7,c8
c2,1.0,0.42635729222717217,0.12388992283622603,0.4164502806729089,0.2781536733154157
c3,0.42635729222717217,1.0,-0.1302410310628717,0.20589828248691971,-0.03376508649986049
c6,0.12388992283622603,-0.1302410310628717,1.0,0.3483083895544092,0.47024538568433055
c7,0.4164502806729089,0.20589828248691971,0.3483083895544092,1.0,0.8530306303197971
c8,0.2781536733154157,-0.03376508649986049,0.47024538568433055,0.8530306303197971,1.0
