,k0,k1,k2,k3
k0,1.0,0.99997762343812,0.9999974392911465,0.9997723754555883
k1,0.99997762343812,1.0,0.9999599238046,0.999607276239235
k2,0.9999974392911465,0.9999599238046,1.0,0.9998180978069592
k3,0.9997723754555883,0.999607276239235,0.9998180978069592,1.0
