,AAMt,AAWt,Clinical,Functionalrelevancefunction,MOSST,Positionaccept,Positiontype,ProteinPropens,Result,SaccM,SaccW,SectorSuperficie,ShbondsM,ShbondsW,Sstruct,yDDG
AAMt,1.0,0.2357331731238783,-0.033017141226124494,-0.04730582011260003,-0.15470160931182947,-0.0667315218934362,-0.09154991092705424,0.05139531346335899,0.2653159194444655,-0.11889017019408016,-0.059777775956285924,0.0943453415327666,0.12669182765938938,0.05695047431082033,0.017356723780161357,-0.36638289010263797
AAWt,0.2357331731238783,1.0,-0.10477477065573766,-0.11737419353977088,-0.09820811399596346,0.04593699816319977,-0.08779041656575204,0.08019995464058563,0.15581460447989237,-0.16929458070141123,-0.1761084434992678,-0.03911356618902642,0.18491847081572163,0.3219846978500756,-0.0027747567779506607,-0.2368551332386132
Clinical,-0.033017141226124494,-0.10477477065573766,1.0,0.04926526459906378,0.15447943795225644,-0.16041154160502388,-0.04710420256126311,0.10346249561391263,-0.1280672443601593,0.09720020592261856,0.07871148279340573,-0.03169351685156869,0.04347753607211537,-0.021009853762596266,0.08918064669405332,0.10345594812420462
Functionalrelevancefunction,-0.04730582011260003,-0.11737419353977088,0.04926526459906378,1.0,-0.11433521900563781,0.14154342079021814,0.1536500369671926,-0.014558257045467841,-0.10789181842285742,-0.05643080060435146,-0.1092027689036166,0.008851940334963702,-0.11325064102645502,-0.18068683885570674,0.07181837935652452,0.1355653474180227
MOSST,-0.15470160931182947,-0.09820811399596346,0.15447943795225644,-0.11433521900563781,1.0,-0.7001035363521447,-0.5705235393248137,0.54072591881676,-0.08195542894537804,0.23414803081101782,0.2568465717137342,0.05727028652025042,-0.10086336860688194,-0.14136198523464238,-0.0017077786397236398,0.13190650918547003
Positionaccept,-0.0667315218934362,0.04593699816319977,-0.16041154160502388,0.14154342079021814,-0.7001035363521447,1.0,0.682848591895437,-0.5080609278979289,0.025076634993973262,-0.22919122699499223,-0.27213982436495804,-0.10987857836206487,0.04156560669106921,0.08554832167367861,-0.09509079970539895,-0.0448870321364812
Positiontype,-0.09154991092705424,-0.08779041656575204,-0.04710420256126311,0.1536500369671926,-0.5705235393248137,0.682848591895437,1.0,-0.49364778022717837,-0.028994975533772015,-0.15092272211416333,-0.15652890186041135,-0.181431283918232,0.04817483018295399,0.10213346121312479,-0.07370654512816478,-0.011703260549469527
ProteinPropens,0.05139531346335899,0.08019995464058563,0.10346249561391263,-0.014558257045467841,0.54072591881676,-0.5080609278979289,-0.49364778022717837,1.0,0.019141478902070803,0.07430644234081818,0.06015319580740547,0.08940779792016978,0.013256946369740735,-0.14421591328854486,-0.0333284026339069,-0.028849224972718242
Result,0.2653159194444655,0.15581460447989237,-0.1280672443601593,-0.10789181842285742,-0.08195542894537804,0.025076634993973262,-0.028994975533772015,0.019141478902070803,1.0,-0.02858813730774596,-0.04099675043943542,0.0033770943009386275,0.09164970968298039,0.056373630479154314,-0.04622838317121309,-0.734744558805778
SaccM,-0.11889017019408016,-0.16929458070141123,0.09720020592261856,-0.05643080060435146,0.23414803081101782,-0.22919122699499223,-0.15092272211416333,0.07430644234081818,-0.02858813730774596,1.0,0.9011713444895566,-0.109351455406205,-0.37357650763370104,-0.23654314780859245,-0.286500382056074,0.14442809454586772
SaccW,-0.059777775956285924,-0.1761084434992678,0.07871148279340573,-0.1092027689036166,0.2568465717137342,-0.27213982436495804,-0.15652890186041135,0.06015319580740547,-0.04099675043943542,0.9011713444895566,1.0,-0.0752101464565811,-0.30244359105967683,-0.2854117631639294,-0.23312571832630669,0.14919184270014785
SectorSuperficie,0.0943453415327666,-0.03911356618902642,-0.03169351685156869,0.008851940334963702,0.05727028652025042,-0.10987857836206487,-0.181431283918232,0.08940779792016978,0.0033770943009386275,-0.109351455406205,-0.0752101464565811,1.0,0.14315334324076534,-0.05903172484665541,0.10786741245270351,0.011582085498332164
ShbondsM,0.12669182765938938,0.18491847081572163,0.04347753607211537,-0.11325064102645502,-0.10086336860688194,0.04156560669106921,0.04817483018295399,0.013256946369740735,0.09164970968298039,-0.37357650763370104,-0.30244359105967683,0.14315334324076534,1.0,0.27032369257131056,0.20675921719287707,-0.19445871452668884
ShbondsW,0.05695047431082033,0.3219846978500756,-0.021009853762596266,-0.18068683885570674,-0.14136198523464238,0.08554832167367861,0.10213346121312479,-0.14421591328854486,0.056373630479154314,-0.23654314780859245,-0.2854117631639294,-0.05903172484665541,0.27032369257131056,1.0,0.011729321036435841,-0.09983872071792589
Sstruct,0.017356723780161357,-0.0027747567779506607,0.08918064669405332,0.07181837935652452,-0.0017077786397236398,-0.09509079970539895,-0.07370654512816478,-0.0333284026339069,-0.04622838317121309,-0.286500382056074,-0.23312571832630669,0.10786741245270351,0.20675921719287707,0.011729321036435841,1.0,0.051085901499634136
yDDG,-0.36638289010263797,-0.2368551332386132,0.10345594812420462,0.1355653474180227,0.13190650918547003,-0.0448870321364812,-0.011703260549469527,-0.028849224972718242,-0.734744558805778,0.14442809454586772,0.14919184270014785,0.011582085498332164,-0.19445871452668884,-0.09983872071792589,0.051085901499634136,1.0
