Performance,Mean,STD,Variance,MAX,MIN
Accuracy,0.867502645502648,0.17663623450595178,0.031200359340441592,0.98,0.3533333333333334
Recall,0.8673968253968279,0.17658517494705897,0.03118232401108342,0.98,0.3533333333333334
Precision,0.8668089796740601,0.2027432511392236,0.04110482588250229,0.9811111111111112,0.19801587301587306
F1,0.8523569017095993,0.21308590047872503,0.04540560098282911,0.97993265993266,0.2022310678657428
