Component,Variance
PCA 1,97.67619013808807
PCA 2,0.3097422246070758
PCA 3,0.1505502959424223
PCA 4,0.0014790889966066615
PCA 5,1.856264870229531e-06
PCA 6,9.52766177832014e-10
