,K0,K1,K2,K3
K0,1.0,0.5493587060277358,0.5583706268804355,0.6032184952198109
K1,0.5493587060277358,1.0,0.9998165908136842,0.8217236097324964
K2,0.5583706268804355,0.9998165908136842,1.0,0.8296927869079394
K3,0.6032184952198109,0.8217236097324964,0.8296927869079394,1.0
