Component,Variance
PCA 1,97.84158297903532
PCA 2,0.11222708873022656
PCA 3,1.4023289735250207e-09
PCA 4,1.2763693445909998e-09
PCA 5,9.664978921741032e-10
PCA 6,8.092697648794964e-10
