,K0,K1,K2,K3,S0
K0,1.0,0.9983802306671936,0.9983095096702868,0.9991092665741882,0.9954124145951254
K1,0.9983802306671936,1.0,0.9999495546491467,0.9993441334593592,0.9991739813969785
K2,0.9983095096702868,0.9999495546491467,1.0,0.9995539848632401,0.9992835048813375
K3,0.9991092665741882,0.9993441334593592,0.9995539848632401,1.0,0.9979875846284018
S0,0.9954124145951254,0.9991739813969785,0.9992835048813375,0.9979875846284018,1.0
