K0,K1,K2,K3,S0
0.0,0.0,0.0,0.0,0.0
0.34281,0.34803,0.29948,0.22906,0.28412
0.69628,0.70589,0.6074,0.46482,0.57555
1.0609,1.074,0.92406,0.70757,0.87454
1.437,1.4527,1.2498,0.95757,1.1813
1.8252,1.8424,1.585,1.2151,1.4963
2.226,2.2436,1.93,1.4805,1.8196
2.64,2.6566,2.2851,1.7541,2.1515
3.0676,3.0821,2.6509,2.0362,2.4925
3.5096,3.5204,3.0277,2.3272,2.8428
3.9666,3.9722,3.4159,2.6274,3.2028
4.4393,4.4378,3.8161,2.9373,3.5729
4.9283,4.9181,4.2287,3.2573,3.9533
5.4345,5.4135,4.6543,3.5877,4.3445
5.9587,5.9247,5.0933,3.9292,4.747
6.5017,6.4523,5.5465,4.282,5.1611
7.0644,6.9972,6.0143,4.6469,5.5873
7.6479,7.56,6.4974,5.0243,6.026
8.2531,8.1415,6.9966,5.4148,6.4779
8.8811,8.7426,7.5124,5.8191,6.9434
9.5332,9.3642,8.0458,6.2377,7.423
10.21,10.007,8.5973,6.6714,7.9173
10.914,10.673,9.168,7.1208,8.427
11.646,11.361,9.7588,7.5869,8.9527
12.407,12.075,10.37,8.0704,9.495
13.2,12.814,11.004,8.5721,10.055
14.025,13.58,11.661,9.093,10.633
14.885,14.375,12.341,9.6342,11.229
15.781,15.199,13.048,10.197,11.846
16.716,16.055,13.78,10.781,12.483
17.692,16.943,14.541,11.39,13.142
18.711,17.866,15.331,12.023,13.823
19.776,18.826,16.152,12.683,14.528
20.89,19.824,17.006,13.37,15.257
22.056,20.862,17.894,14.086,16.013
23.277,21.943,18.818,14.834,16.795
24.557,23.068,19.78,15.614,17.606
25.899,24.242,20.783,16.429,18.447
27.307,25.465,21.828,17.281,19.319
28.787,26.742,22.919,18.173,20.223
30.342,28.075,24.057,19.105,21.163
31.979,29.467,25.246,20.082,22.138
33.702,30.923,26.488,21.106,23.152
35.519,32.446,27.787,22.18,24.206
37.435,34.04,29.146,23.307,25.302
39.459,35.709,30.569,24.491,26.443
41.599,37.46,32.061,25.736,27.631
43.863,39.296,33.626,27.046,28.869
46.262,41.225,35.267,28.426,30.16
48.806,43.251,36.992,29.881,31.506
51.507,45.381,38.805,31.416,32.91
54.379,47.624,40.712,33.037,34.377
57.437,49.987,42.72,34.751,35.911
60.695,52.478,44.837,36.566,37.514
64.174,55.107,47.07,38.488,39.191
67.892,57.885,49.428,40.527,40.948
71.873,60.823,51.92,42.693,42.789
76.141,63.934,54.558,44.996,44.719
80.726,67.231,57.352,47.448,46.745
85.658,70.729,60.315,50.062,48.873
90.975,74.446,63.46,52.853,51.109
96.717,78.399,66.805,55.838,53.462
102.93,82.61,70.364,59.033,55.94
109.67,87.1,74.158,62.46,58.551
116.99,91.897,78.207,66.142,61.305
124.98,97.027,82.534,70.105,64.214
133.69,102.52,87.167,74.378,67.288
143.24,108.42,92.134,78.993,70.541
153.72,114.76,97.467,83.99,73.986
165.27,121.58,103.21,89.41,77.64
178.04,128.95,109.39,95.304,81.519
192.2,136.9,116.07,101.73,85.642
207.96,145.52,123.29,108.75,90.03
225.57,154.88,131.13,116.44,94.706
245.34,165.06,139.64,124.89,99.697
267.63,176.16,148.91,134.2,105.03
292.89,188.3,159.04,144.5,110.74
321.68,201.61,170.13,155.93,116.86
354.67,216.25,182.3,168.66,123.43
392.73,232.39,195.72,182.89,130.5
436.96,250.27,210.53,198.88,138.12
488.76,270.11,226.96,216.92,146.34
549.97,292.25,245.24,237.38,155.24
623.02,317.02,265.67,260.72,164.89
711.14,344.89,288.58,287.49,175.37
