,G120,G30,G60,G90,GB,GI,I120,I30,I60,I90,IB
G120,1.0,0.4088505461109511,0.44690486917349226,0.4243580438202806,0.25382541396497155,0.19488105177547088,0.6762013230354151,0.7012211100756861,0.6981792410796246,0.6830988274403327,0.43195768891458725
G30,0.4088505461109513,1.0,0.4376519182119542,0.42073033026921147,0.23723189743652107,0.18892003872952823,0.6698519651823954,0.6981781599832534,0.6928056288632661,0.686097243497019,0.422977201537815
G60,0.4469048691734925,0.4376519182119541,1.0,0.4613025284239594,0.27994026710241243,0.23402522826912311,0.7053370890018428,0.7297873209555185,0.7274546459256648,0.7110086277974416,0.4645904860499582
G90,0.424358043820281,0.42073033026921114,0.4613025284239594,1.0,0.26466975914203744,0.21383538778906827,0.6899307833001758,0.7127854600957314,0.7090887522218237,0.6966266685222533,0.4527643103006309
GB,0.25382541396497155,0.23723189743652096,0.27994026710241243,0.2646697591420375,1.0,0.09260644590965258,0.5351164003484353,0.5709496247899118,0.56426110597064,0.5503362212523433,0.28759970627227555
GI,0.19488105177547085,0.18892003872952823,0.23402522826912314,0.21383538778906847,0.09260644590965258,1.0,0.47725778387421836,0.514761031195899,0.5203673779491883,0.4969773684878821,0.25640296735727797
I120,0.6762013230354142,0.669851965182395,0.7053370890018419,0.689930783300175,0.5351164003484353,0.4772577838742185,1.0,0.8919127938289193,0.888470197332852,0.8797344027330325,0.6926147339965425
I30,0.7012211100756849,0.6981781599832525,0.7297873209555172,0.7127854600957306,0.5709496247899134,0.5147610311958997,0.8919127938289194,1.0,0.905312224845643,0.8969539885954286,0.7162044690779338
I60,0.6981792410796234,0.6928056288632655,0.727454645925664,0.7090887522218224,0.5642611059706409,0.5203673779491886,0.8884701973328532,0.9053122248456426,1.0,0.8935588265162856,0.7112689224323493
I90,0.6830988274403318,0.6860972434970184,0.7110086277974408,0.6966266685222529,0.5503362212523435,0.4969773684878825,0.8797344027330335,0.896953988595429,0.8935588265162859,1.0,0.700283614053709
IB,0.431957688914587,0.422977201537815,0.4645904860499583,0.4527643103006309,0.28759970627227566,0.25640296735727813,0.6926147339965422,0.7162044690779333,0.711268922432349,0.7002836140537088,1.0
