,K0,K1,K2,K3,S1
K0,1.0,0.9872842902635124,0.9862978937372714,0.9941300900342457,0.9543652931859979
K1,0.9872842902635124,1.0,0.9999810819937658,0.998670346886471,0.9893156081395866
K2,0.9862978937372714,0.9999810819937658,1.0,0.9983347560322221,0.9901869018567556
K3,0.9941300900342457,0.998670346886471,0.9983347560322221,1.0,0.9805954094343127
S1,0.9543652931859979,0.9893156081395866,0.9901869018567556,0.9805954094343127,1.0
