feature,importance
MT_SSE,0.483
DDG,0.195
WT_OSP,0.085
WT_DEPTH,0.074
AAMT,0.051
MT_DEPTH,0.033
WT_SSE,0.032
MT_RSA,0.026
WT_RSA,0.02
AAWT,0.0
ChainID,0.0
MT_OSP,0.0
Pos,0.0
