param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,param11,param12,param13,param14,param15,param16
-5.04763661079,-5.85441905373,-6.82023724847,6.68818035859,-0.0987063623065,-3.07302898781,-31.4148143061,-1.65790043517,0.0973411087967,-3.55568066351,0.899794348209,1.98852109633,7.64313466186,8.71132281921,2.16127501139,5.68563184734
-5.69346243189,-6.01354391866,-11.0685283671,6.90652987676,0.120750053335,-1.84803730258,-31.020032642,-0.389545604301,1.02849843012,-11.5151510261,-2.39137997564,2.05938989081,7.64067876423,8.71152932167,2.21887414191,5.92599941856
-3.79171748596,-3.9801244745,-4.89256387113,5.12267271882,0.626112010859,-14.7740397294,-12.8250318005,-4.49622386295,-17.2446198958,2.2923105882,-4.15392797037,1.51540969339,1.39687189049,8.66291755487,2.22110372537,4.6456440234
-5.15899624702,-1.51659436105,-2.04602709195,6.67341508722,0.147697443614,-6.84705911339,-14.0256641523,-5.09246322175,-3.53767540148,-0.636683118505,-5.38744933598,2.87697853513,0.71721029902,8.73097953343,2.35035579946,4.86764940602
-5.84634510109,-0.418889824774,-1.58701258358,5.91197913362,0.807354922058,-4.22526142631,-33.3930395913,-2.89775844608,0.156784907554,-2.11503485877,-3.74135806704,1.87440353938,2.40672713038,8.68334556168,2.27163483378,6.12616755619
-4.56415381808,-5.10636131536,-6.15915089052,6.49231788985,-4.39526063543,0.410449655462,-10.1000871358,1.38100643709,-0.974290782579,2.29501766515,0.633663696867,1.71219956265,1.07279181811,8.72890686623,2.35901507016,4.72170075599
-4.09440879964,-4.35284208836,-5.95294747715,6.24100116345,-3.77833323063,-2.06582321808,-12.2901670482,-2.28489736394,-2.10985685972,1.28184659158,-5.10949571741,0.752748591407,1.97944005809,8.70165301374,2.32022470954,6.4618395645
-4.39041143951,-5.44423095412,-6.99880017678,5.5776100977,0.298892881054,-0.37306564248,-7.52826356137,1.42883917681,-0.836501267717,2.17622701537,-3.47952042199,1.35462141483,1.45117154023,8.66909765091,2.19597745864,4.18792606749
-2.69862306664,-6.343791053,-6.82710085668,5.79991620299,-0.433019280363,-1.61021294626,-11.1211254655,-0.457375440799,-2.15392797037,-3.32220223299,1.0,2.66932162587,6.32563825983,8.73070787781,2.26804507091,5.68088692072
-5.41685451519,-5.6872047342,-7.43187214044,6.48334823608,-1.58018068661,-1.39919742324,-9.44182093887,0.908198046491,-0.194393859411,2.31808541304,-4.09214331461,1.51237860808,0.812539297917,8.71973105675,2.25438239999,5.64691146581
