BepiPred2.0,Bepitope,ABCpred,CBTope,BepiPred1.0,Consenso,BepiPred2.0Largo,BepitopeLargo,ABCpredLargo,CBTopeLargo,BepiPred1.0Largo,ConsensoLargo
8,11,12,10,10,3,14,15,16,6,11,5
6,14,14,11,9,3,19,17,16,8,10,6
7,7,12,12,9,3,17,16,16,6,9,5
8,8,13,10,9,5,15,16,16,10,10,5
9,8,16,10,9,6,13,16,16,9,11,3
8,7,15,13,8,4,13,17,16,7,10,4
9,9,10,8,4,1,11,14,16,4,4,5
8,11,17,10,9,8,13,15,16,9,10,4
9,10,16,8,10,6,11,15,16,10,9,3
8,7,12,12,10,6,14,16,16,8,9,3
8,11,14,10,11,3,15,14,16,5,10,4
8,13,13,11,10,7,15,14,16,6,12,3
7,10,18,12,9,5,18,15,16,7,9,3
8,13,16,15,9,4,14,14,16,5,14,3
8,15,15,9,8,2,11,14,16,6,8,5
5,7,7,9,6,1,16,17,16,7,12,9
8,9,13,12,10,8,15,16,16,8,9,3
9,10,16,7,11,4,12,15,16,6,11,1
9,7,13,12,8,6,12,17,16,7,11,4
4,9,15,12,7,4,51,15,16,5,13,6
5,15,19,9,7,6,43,15,16,7,21,5
5,10,11,5,4,1,18,15,16,4,8,4
5,11,8,7,5,5,12,15,16,9,6,3
7,11,17,11,9,5,14,15,16,7,8,3
4,11,11,10,5,1,12,14,16,4,5,6
12,15,17,12,9,4,9,14,16,4,6,4
7,6,10,4,7,2,13,16,17,9,10,1
11,12,18,10,12,4,11,15,16,7,10,7
6,14,12,10,9,4,17,13,16,4,8,1
6,14,11,11,9,4,19,14,16,5,6,3
7,8,13,11,9,5,14,16,16,6,6,4
5,15,19,9,7,6,43,15,16,7,21,5
10,16,17,11,15,4,16,14,16,4,7,1
4,14,10,8,9,2,43,14,16,4,8,4
