,S0,S100,S150,S50,Labels
0,-0.6608108048708407,-0.8185573202540537,-0.7599825366694422,-0.8121153563084418,0
1,-0.6584695511682126,-0.8141032717519684,-0.7564185348202267,-0.8077655920581359,0
2,-0.6560554939754003,-0.809523698442358,-0.7527502859947178,-0.8032929700582666,0
3,-0.65356528679051,-0.8048141385429648,-0.7489732780103598,-0.7986922410458822,0
4,-0.6509966758469599,-0.7999695353672293,-0.7450834654621024,-0.7939591556176407,0
5,-0.6483454267954146,-0.7949842373242916,-0.7410764917598913,-0.7890885894930417,0
6,-0.6456081248380232,-0.7898531877275925,-0.7369470667586611,-0.7840742935495231,0
7,-0.6427806722173643,-0.7845719247948743,-0.732690055905848,-0.7789125183135482,0
8,-0.6398603370951573,-0.7791315249616206,-0.7283007914263943,-0.7735945150135305,0
9,-0.6368416557948404,-0.7735275264455737,-0.7237730496202226,-0.7681165341759327,0
10,-0.6337205305589925,-0.7677539802037228,-0.7191021627122749,-0.7624698270291689,0
11,-0.630492180670622,-0.761801962671552,-0.7142803510774549,-0.7566506440997017,0
12,-0.6271525083723076,-0.7556655248060503,-0.7093013910156852,-0.7506477369669202,0
13,-0.6236953670279176,-0.7493357430427023,-0.7041606147519082,-0.744456106332775,0
14,-0.6201152929608901,-0.7428066683384968,-0.6988471308109883,-0.7380670034256795,0
15,-0.6164068224946638,-0.7360664026074129,-0.6933578273428873,-0.73147292929856,0
16,-0.6125638089931065,-0.7291089968064395,-0.6876802569474506,-0.7246626355308052,0
17,-0.6085787399009461,-0.7219240401103082,-0.6818081959246011,-0.717628623175341,0
18,-0.6044454685820507,-0.7144996344329977,-0.6757323087242229,-0.7103608936360688,0
19,-0.6001564824811481,-0.7068283434707444,-0.6694417038711808,-0.7028481984923775,0
20,-0.5957029031238253,-0.698895294616022,-0.6629286017403785,-0.6950792893236558,0
21,-0.5910806327526614,-0.6906930515650668,-0.6561805549316613,-0.6870454173583176,0
22,-0.5862725973784011,-0.6822052544495999,-0.6491882278949135,-0.6787215861061158,0
23,-0.5812733333244826,-0.6734185179228469,-0.6419360613799422,-0.6701227934611987,0
24,-0.5760760109952041,-0.66432838020255,-0.6344131639116122,-0.6611990464430725,0
