Feature,Average,Standar Deviation,Variance,Max Value,Min Value
exp,19.378199999999996,23.949242321771187,573.5662077869162,162.79,2.0491
pre,18.606089252336446,23.090094970292,533.1524857371039,156.59,0.63495
