,AAMt,AAWt,Clinical,Functionalrelevancefunction,MOSST,Positionaccept,Positiontype,ProteinPropens,Result,SaccM,SaccW,SectorSuperficie,ShbondsM,ShbondsW,Sstruct,yDDG
AAMt,1.0,0.2419377147966186,0.033396596543780306,0.1518867231034126,0.25443363459785584,0.2666235010753959,0.047146781428794145,0.11900909037158962,0.14650916154124496,0.592751323027127,0.39283172802729754,0.11060719751093098,0.17810406571594534,0.04319369017712903,0.07076888984104822,0.43544032156102547
AAWt,0.2419377147966186,1.0,0.022673567144618545,0.43371238955220376,0.21983023613501615,0.46020309306716467,0.11361530721471286,0.2642298664527454,0.1209356275050303,0.6057136054628806,0.661831347982089,0.2899615545918048,0.0684055793789713,0.19884425281302043,0.1698818898673519,0.4072562442639937
Clinical,0.033396596543780306,0.022673567144618545,1.0,0.02290024975445229,0.038817486448810994,0.08959451221533377,0.0139227049300212,0.033635442252757025,0.016201507098074688,0.2974381012429562,0.16171653383114756,0.018026016985338414,0.001368904440208061,0.0028707689675158098,0.005438196332120565,0.11123268663872715
Functionalrelevancefunction,0.1518867231034126,0.43371238955220376,0.02290024975445229,1.0,0.2055195276802839,0.4673024417110277,0.11682598210873675,0.26751214999236544,0.09390112715313871,0.6041652496097631,0.6711852394113621,0.384701969656561,0.0685541903508063,0.12933296961471674,0.2003524483989449,0.3923692417463316
MOSST,0.2544336345978559,0.21983023613501615,0.038817486448810994,0.20551952768028386,1.0,0.4414495725177387,0.2670532432325171,0.3212389077325934,0.14109674568354705,0.653621230304656,0.4968254786057033,0.14948548684499507,0.06818418363608483,0.06530363002813626,0.09900397570783716,0.4884141946900362
Positionaccept,0.2666235010753959,0.46020309306716484,0.08959451221533381,0.46730244171102775,0.4414495725177387,1.0,0.5489642221311948,0.7264166264914522,0.22054376520055147,0.6918450264242972,0.7800488876806778,0.4310635305060791,0.13999606607738332,0.2547186544182166,0.3496501331858533,0.5208414792994143
Positiontype,0.047146781428794145,0.11361530721471286,0.0139227049300212,0.11682598210873679,0.2670532432325171,0.5489642221311948,1.0,0.44101082898224253,0.017777722303154334,0.40338552842019004,0.4402397241217888,0.10402202647756435,0.008604368087026602,0.0172342430960118,0.060261223446358016,0.20638986739213655
ProteinPropens,0.11900909037158962,0.2642298664527454,0.033635442252757025,0.26751214999236544,0.32123890773259334,0.7264166264914524,0.44101082898224264,1.0,0.0868929178195167,0.555615203113685,0.6263317881406917,0.21947164368518357,0.03658529212340289,0.10609431426970477,0.18684440527779636,0.3649607132154748
Result,0.14650916154124496,0.12093562750503033,0.016201507098074688,0.0939011271531387,0.14109674568354705,0.22054376520055147,0.017777722303154334,0.0868929178195167,1.0,0.48750161025958816,0.3316576786822703,0.0705570188755526,0.04978883042677106,0.010642476379865044,0.04297600679774099,0.6305525785661829
SaccM,0.5927513230271271,0.6057136054628807,0.2974381012429562,0.6041652496097631,0.6536212303046559,0.6918450264242972,0.4033855284201901,0.5556152031136848,0.48750161025958816,1.0,0.8555022351220974,0.5672541076437326,0.3445437698302617,0.330805683913748,0.49083687329903875,0.8083601813655423
SaccW,0.39283172802729754,0.661831347982089,0.16171653383114767,0.6711852394113621,0.49682547860570336,0.7800488876806781,0.4402397241217888,0.6263317881406917,0.33165767868227036,0.8555022351220974,1.0,0.6322367737653437,0.2401656012552619,0.4205223114783959,0.5563334749079017,0.6660212551990329
SectorSuperficie,0.11060719751093095,0.2899615545918047,0.018026016985338414,0.38470196965656095,0.14948548684499507,0.43106353050607915,0.1040220264775643,0.2194716436851836,0.0705570188755526,0.5672541076437326,0.6322367737653436,1.0,0.06405992413369567,0.10626973305515393,0.3511276543891939,0.34392818710774703
ShbondsM,0.17810406571594534,0.0684055793789713,0.001368904440208061,0.0685541903508063,0.06818418363608485,0.13999606607738332,0.008604368087026602,0.0365852921234029,0.04978883042677106,0.34454376983026175,0.24016560125526198,0.06405992413369567,1.0,0.05967306818586153,0.07629484425141173,0.18369599878111054
ShbondsW,0.04319369017712903,0.19884425281302043,0.0028707689675158098,0.12933296961471671,0.06530363002813626,0.25471865441821673,0.0172342430960118,0.10609431426970477,0.010642476379865044,0.3308056839137481,0.4205223114783959,0.10626973305515393,0.05967306818586153,1.0,0.022625635333603726,0.1638454267100475
Sstruct,0.07076888984104819,0.1698818898673519,0.005438196332120565,0.20035244839894487,0.09900397570783719,0.3496501331858533,0.060261223446358016,0.18684440527779636,0.042976006797741,0.4908368732990386,0.5563334749079019,0.3511276543891939,0.07629484425141173,0.022625635333603726,1.0,0.24623223167187686
yDDG,0.4354403215610254,0.4072562442639937,0.11123268663872712,0.3923692417463316,0.4884141946900362,0.5208414792994142,0.20638986739213655,0.3649607132154748,0.6305525785661827,0.8083601813655423,0.6660212551990329,0.34392818710774703,0.18369599878111054,0.1638454267100475,0.24623223167187686,1.0
