ID,KSJ,KGJ,KLJ,TAU,KLG,KXG,KXGI,C,LAMBDA1,FGI,KXI,GAMMA,BETA,D,GB,IB
1143,0.0302352198,0.0172837912,0.0088492187,103.1233627933,0.933870728,0.1188321995,3.49299674118335E-10,0.3168959479,1.0698435521,0.0850419886,1.8657586465,3.9683488688,199.8974858206,419.1455090701,4.473096385,51.4689635161
1141,0.0193235062,0.0154793849,0.000465633,119.9694724678,1.0873120253,0.2777704868,4.59237445820242E-10,0.7633699484,2.0399396587,0.0003416576,0.1906049764,4.1680519098,199.5552495377,419.2080340483,4.6553263407,60.8000184728
1147,0.0722074848,0.0633668577,0.0336663908,34.8401809569,1.5433992398,3.56924579811379E-05,0.0001378146,0.0443097425,6.43952696946643E-06,4.8984496505,0.056175238,2.8587665681,2.6332823057,405.3242456796,4.6624845373,25.0310408754
669,0.0279891875,0.349513087,0.242154466,102.0718615215,1.1077909618,0.0086862162,5.99592017992185E-05,0.0293096766,0.0861098699,0.643186023,0.0238903402,7.3461162612,1.6440231761,424.9011611769,5.0995447653,29.1954819256
1175,0.0173811987,0.7480015928,0.3328599469,60.2115247782,1.7499853372,0.0534653299,8.86532557325261E-11,0.1341798134,1.1147565431,0.230837611,0.0747715923,3.66647144,5.3027103564,411.104767491,4.8287342376,69.8487783098
664,0.0422721155,0.0290285303,0.0139930109,90.0293170056,0.0475219394,1.3290507263,0.0009111088,2.6044989607,0.5089867691,4.9076290235,1.5515442746,3.2765541728,2.1035444219,424.2912096228,5.1301792636,26.3857725076
660,0.0585413744,0.048940102,0.0161429554,75.6361954396,0.0728798016,0.2388487554,0.0001996559,0.2051952991,0.2316682814,2.43148936,0.0289658879,1.6850497673,3.9433726887,416.350881344,4.9941108421,88.1467887989
166,0.0476816281,0.0229682891,0.0078190409,47.7561079344,1.2301577216,0.7721443347,0.0054170906,2.6923439089,0.559997845,4.5196971246,0.0896517493,2.5573254904,2.7343273278,407.0620474995,4.58196822,18.2261417509
692,0.1540403761,0.0123116519,0.0088071667,55.7118534754,0.7407051903,0.3275522514,0.0004489615,0.7283073085,0.2246950218,0.099981367,1.9999777241,6.3612898824,80.2060836323,424.8172204627,4.8167166646,51.3000467203
400,0.0234082913,0.0194078093,0.0057913565,89.4709408201,0.3344429338,0.3791433465,0.0014379326,1.8767313939,0.873936729,4.9867332384,0.0586334301,2.8528464885,1.7563220373,421.5987486554,4.7713400118,50.1060754048
695,0.0281518503,0.0101026942,0.0032608365,103.5652699711,1.6353047095,0.1899705953,0.0003289905,1.1602635682,1.0504684771,0.526523146,0.1904494715,4.5567438297,5.9970998751,419.8380276101,4.5128633987,23.4800386344
1404,0.0737131285,0.4551823119,0.209304143,79.0079091178,0.1925592732,0.019438177,2.94270567791307E-11,0.0105583938,0.0004602355,1.5935237236,0.0184351125,2.5070403849,19.9986087933,416.1246911946,4.632982198,37.0168073909
1409,0.0381876515,0.045555618,0.0705936853,73.0603086713,0.0381967071,1.3727096827,0.0007867186,2.6312024547,0.7184242476,4.9364656268,1.9503012536,1.9916414323,5.4329280188,424.5686409169,4.81432277,32.4806856841
344,0.0487541681,0.0432659702,0.0192617606,80.9314380473,0.0448996047,2.40267109925441E-05,4.75972273435535E-05,0.0204375746,2.93121936388916E-05,0.1276784782,0.0280562307,9.9999730574,127.2702179071,413.913886243,4.6550081016,18.669486623
819,0.0051057808,0.1598020524,0.0424624321,112.6203277947,0.164005913,0.1830709349,3.15063129444296E-05,0.3341298351,0.001260004,3.1665929136,0.0213670002,3.872326462,199.9911376581,412.3387493025,4.3228372379,17.3129674284
346,0.0579533452,0.0459202422,0.0291558747,110.0858413688,0.9343084545,1.94034957172929E-05,5.50440729610548E-05,0.0413508854,2.1595617946,4.6089470627,0.0436807357,2.2994495978,2.0987339873,409.9844243211,3.690075885,84.0945815696
347,0.0903386815,0.0396543008,0.0331976643,65.2165179583,0.4074771722,0.0397396256,8.22591970835157E-05,0.0489685209,0.0625638536,4.9874240709,0.0525347857,1.501217654,199.8281715376,415.2342180211,4.9007200152,27.2769831951
544,0.0497916273,0.0146759185,0.0404770501,84.4226324727,0.0071728084,2.76836190561153E-05,7.77227292738986E-05,0.0542270105,0.0025257429,0.2719239552,0.0282933876,9.3895352747,102.9394696116,408.1945498371,5.035325956,14.0012747477
545,0.0149055825,0.5638128855,0.6942745289,42.0749117905,0.4897711578,1.0700901488,0.004960994,4.1456467704,0.4838384441,4.9336656628,0.0525458889,1.7564956511,6.1906046727,412.7717850462,4.6004166065,30.0182627264
8,0.0450238735,0.0203426746,0.0238413878,91.5119633427,0.0257748901,1.8321756264672E-05,4.17612296080833E-05,0.0419568632,0.5231594933,3.9321575311,0.0302489468,2.5721109901,2.8315547656,421.7341040454,4.3062480726,40.7818155835
813,0.0464496069,0.2924957601,0.5932440687,51.9840477856,0.1381917755,0.0101496973,8.11752689404103E-06,0.01729189,0.0009969098,0.1153466545,0.6357079539,6.9199754145,1.8363716912,423.8936867644,4.6933495577,25.2546364051
814,0.0129547095,0.0415213017,0.0265479656,83.1354068879,0.0165224606,1.9352273276941E-07,6.3967414995615E-05,0.0452417523,7.70491033063976E-07,0.6745740969,0.0207773475,4.6290422811,199.9595870641,415.3483916891,5.2591107181,47.4721093086
816,0.0337092574,0.02485172,0.0081219719,93.0381050247,1.2989990641,0.0461313735,9.85811979547665E-08,0.0995210007,2.1259853446,3.4045489811,0.0536814076,1.8560010745,36.2634028542,413.6955036492,4.5103374635,42.0502535617
1313,0.0166545262,0.4519708295,1.0867263222,52.0474169271,0.1639641045,1.2648436119,3.45351156947292E-05,1.6273030955,0.547418621,4.9440984495,0.5322372701,1.8745906262,11.1719054935,417.9693270562,4.9538781749,37.2497676356
