ID,KSJ,KGJ,KLJ,TAU,KLG,KXG,KXGI,C,LAMBDA1,FGI,KXI,GAMMA,BETA,D,GB,IB
719,0.0494144316,0.0557903107,0.012538187,89.4845746541,0.2505138036,0.0001829774,3.53745876446819E-05,0.0142749513,7.69429988427013E-06,0.1450619381,0.0229496356,6.642060927,1.8316359392,413.875315453,4.6482162275,49.0472784759
718,0.4675956183,0.118852682,0.014205678,85.1957722034,0.1067153246,1.01413810348803E-06,3.23277909233235E-05,0.0132417102,0.0001514752,4.999073801,0.0162090303,2.5827243347,3.9988916568,416.2803436194,5.0925568918,40.5982173884
717,0.1611314892,0.1036526154,0.0323176091,75.0582791534,0.2144027451,0.0155075124,1.14867887505625E-07,0.0179629539,1.0816959635,3.5487975491,0.0157369915,1.637189175,126.7234728548,414.3173261102,4.5998854608,33.1512351419
716,0.0095690152,0.0445874519,0.0002381328,91.1535327008,0.4482354604,1.6245420343,0.0005896055,3.8236419555,0.1847963958,4.9927268544,0.0635205877,2.6414666645,2.9081391062,411.1244731066,5.1993507879,27.3064788082
1358,0.0415727092,0.0331473581,0.0088228982,83.0678407175,0.1950565784,0.0242181837,1.04744830494799E-10,0.036955303,0.5754355094,4.9942541812,0.0376885935,1.8573794893,8.8431978974,412.6585899998,4.3999918912,20.6959819827
1319,0.0647952811,1.219078101,0.453498328,74.8875708926,0.4132709404,1.43834287987887E-06,6.33758611837871E-05,0.033766089,8.19952843415276E-05,4.5317519582,0.0370094719,1.7775086263,6.8479883026,413.7202972312,5.4300509603,51.5472140384
710,0.0102633992,1.1685470831,1.5624342225,39.7010606176,0.5687356099,0.9544945002,0.0027378917,2.6479638237,0.946190238,4.7641884806,0.9014346931,1.1429840667,85.1152545872,410.8191541745,4.540660933,20.2011535424
121,0.049569607,0.4064755472,0.2079747486,76.1519601366,0.0229359252,0.0005077283,0.0002010547,0.0420549378,0.4293645219,2.4192039216,0.8322561125,3.32551295,1.6086524006,420.0469130479,4.6982270613,24.200073395
967,0.0178247139,0.7830872974,0.5559838971,81.8486542025,0.0573475234,0.0766824146,5.27631189878748E-05,0.0675222487,0.07849033,4.6519256689,0.1445745349,2.6888838844,2.245079524,423.3822961595,4.0993513978,37.5009554434
125,0.0746094159,0.0112732026,0.0018195241,69.8998641051,1.2707023008,1.062834572,3.54419386506482E-05,2.706139694,2.1275747622,4.9961742525,1.8909027267,1.5830206999,18.3503796911,424.5964177634,4.5141702745,39.7412401883
1402,0.0196510549,0.0395224548,0.0107106994,94.3436431885,0.6302524354,0.3670948407,0.0036146237,1.7724463639,1.1528229942,4.2344957426,0.1283815613,3.6502810826,2.1937432286,416.2006647479,4.6913508536,13.99085196
1264,0.0426265167,0.0040654366,0.033121195,119.8874772861,0.0001272227,0.0291394911,0.000001474,0.102287793,0.05163124,0.0201339938,0.0257694033,9.9925052623,45.7582355969,424.0757078977,4.4294614575,50.9358932715
1401,0.0177737846,0.0159850439,0.0061680403,101.0205152477,0.8211066633,0.8376503016,0.0045236629,6.4277410934,0.7251788571,1.7921970554,1.1232517772,2.0704137162,8.5824757565,414.9990976353,3.904770935,62.7384135215
326,0.0186724071,0.0216187864,0.0007279103,118.821407651,1.5656138946,0.3780295365,1.03232412844783E-06,1.0372194623,2.0810379684,1.8870195346,0.0523373889,2.2574224426,6.8210678471,424.9999946278,4.5911532727,18.991597143
1224,0.1331377669,0.0113622505,0.0104408528,56.4143483496,1.6234122294,0.1845049191,0.0006074913,0.743260254,0.3120593666,2.3290533933,0.0403905736,1.8218638094,141.6516500217,424.5423750667,4.4000831202,55.8986421574
1061,0.0468833597,0.0167444919,0.0304153553,76.1898646746,0.0072714187,5.00421367884723E-07,2.81478797818653E-05,0.0482975273,5.69688169521707E-05,4.5531024407,0.0219560362,2.5217614909,8.9188121485,416.566376748,5.0752711012,61.1810272164
1060,0.0283460195,0.0196242006,0.0126829236,44.7018530537,0.3744178316,0.7438362681,0.0001566296,1.8687818885,2.1282482026,0.8390106663,0.0843459773,3.9643019537,4.8614075014,410.2950057256,4.6002139946,29.3249177707
1022,0.0463972985,0.9659476602,0.0555404028,98.3829952508,0.6646862791,6.76502465121369E-05,2.30931912405082E-05,0.0075415987,0.1120077743,3.4897839824,0.0131995549,2.0346722477,5.3144061068,411.3142623423,4.3942765722,59.9916761681
1065,0.0253062859,0.049610358,0.0233519202,93.4016525326,1.61600067,0.7386163375,0.0003505869,1.6497482696,1.7723742732,3.2476299298,0.0449539262,2.3479103463,6.3535628976,413.8421750597,4.5039210273,25.0941493512
363,0.078858577,0.114513058,0.1948845538,41.6880348301,0.0747393411,0.0271776847,2.17501341667032E-08,0.043845354,1.999990924,4.9905681356,0.0644223314,1.3510641179,6.5405899862,420.7868991041,4.7500139447,54.5999895992
414,0.0276382419,0.3934178178,0.4668533728,54.1658398613,1.7404410401,0.0270564671,4.02384513952982E-05,0.0870231145,0.2110211971,4.7095042495,0.0302463939,2.4708548236,9.0657506617,413.9748882351,5.2979292001,14.5392488606
1186,0.0323745678,0.0863511257,0.0231270486,78.0748600994,1.2733705939,0.0034137571,0.0013381907,0.5332014161,0.1666028673,2.290855523,0.1550041093,4.5030270289,1.6971124754,411.7224105724,4.8968986604,56.6338966663
913,0.0190412384,0.0367616551,0.0304065622,55.9417655174,1.7047269729,0.29774162,0.0013413128,1.3382064033,0.0009648703,2.1946124699,0.3467646945,1.9967878759,199.9975018392,406.4543650777,5.2248128734,76.6394897982
299,0.0067793547,0.0239204752,0.0107792762,94.2253965811,0.6158763969,0.0001192088,9.80242643859245E-05,0.1560376897,0.23153749,4.9999370243,0.0252586866,5.6010200063,1.5786260074,416.1329578684,4.7980138687,33.6850042037
296,0.1805602448,0.11864223,0.0706304521,76.1287090914,0.0285259612,1.44525078036255E-05,5.73344237561711E-05,0.0390654476,0.9382269983,4.9867633846,0.0431187914,2.1305115339,5.1569083733,417.4936818869,4.9674292803,34.5849357775
921,0.0398825056,0.0259671416,0.0140134224,49.4046463128,0.3860365466,0.5220620812,0.0016703951,1.6714496621,0.9920037323,1.5462346658,1.8937330208,2.4115918523,99.6378948171,422.405963144,4.2988113246,29.1810062825
294,0.0248002808,1.0546184487,0.5980428829,93.0469786168,1.409756424,0.0011492723,6.48217370255473E-05,0.0180965539,1.2961878722,0.0253310495,0.0200149558,9.7184914352,94.8064888095,415.605648661,4.4650305655,14.0840213958
1390,0.0170508788,0.3190363992,0.1039436015,106.5708150105,1.455296157,0.0443439111,0.0002395177,0.1957369047,1.1883080523,4.9997244162,0.0249928969,1.566306195,13.8444062267,424.1908302436,4.3716906883,42.800254264
1380,0.0241028358,0.0196357918,0.0039696073,56.6008947527,0.939803797,1.022425273,8.16397856806244E-05,2.786274294,1.9806117016,3.9309595088,0.0439747097,3.6218906509,2.085985994,414.8718098603,4.8637403255,24.9989475546
293,0.0658074914,1.1119350578,0.7350868818,80.3046164273,1.1005552485,0.0002438183,0.0001773384,0.0386714388,0.0241593122,2.6190099283,0.020640763,2.3188004385,6.7742183219,406.8165554728,4.7323880225,17.0445832537
1382,0.0332405371,0.1462536519,0.2838506578,52.9836715835,0.0110223027,0.0547556171,1.21454703759961E-07,0.0471615115,0.031304641,4.9936026031,0.0421812882,2.5572700621,8.2101002609,423.3404553341,5.0211463285,21.9903124649
927,0.0547741457,0.2419028008,0.0961335815,54.264058021,1.611705871,0.000002054,3.03173438761824E-05,0.0110450169,3.74626407589771E-05,1.9429930434,0.0376826384,2.1092658987,8.9521239708,415.846419108,4.6068885426,59.8984927447
591,0.0572029096,0.0069904156,0.0022777279,119.8829183195,0.5149011061,0.1413292449,0.0003855047,0.9381717963,0.5022360882,1.6858376263,0.034720771,4.3644111322,10.2574396312,424.1057816436,4.682704503,14.6105681555
590,0.0349304038,0.0228612734,0.0054175274,67.0345620238,0.9656699994,1.1773772347,0.0071724697,6.0050665144,1.092696219,4.5270566163,0.1083045372,1.9395536787,5.9372460238,416.9190687399,4.912358461,21.1310620463
593,0.016056367,0.3848339546,0.3036839918,58.5891647012,0.0425782395,0.117954865,0.000227183,0.6095504951,0.960335797,0.1098392202,1.9995689699,4.0767406033,199.838692165,413.0824893031,4.3222708548,32.6539422883
318,0.0064576395,0.5056318412,0.5091480944,52.4034976291,1.7285561599,0.9344908035,4.89654573926853E-07,2.4760503059,0.2122238342,4.9871346306,0.0086170789,4.2503556097,2.0625328428,421.5065186963,5.2637888454,32.8884909483
1120,0.0177501814,0.0224764507,0.0085413083,104.8127996539,1.1850837439,0.2605496975,2.95651635633125E-06,0.6198179143,1.0391082375,0.8419817217,1.9878071759,3.39403195,3.6221885232,419.2109336906,4.5626166916,60.8562001365
194,0.033785196,0.112589073,0.0218247516,75.9315938215,0.0075372541,0.0054958286,8.72006453192628E-05,0.0271120549,0.3012468452,4.9997999419,0.0541304794,8.6345489311,1.3024869426,415.0899690686,4.8997976246,20.2488543029
311,0.0201454593,0.025499882,0.0216416943,70.5257713792,0.5879727366,0.1974862576,0.0070120077,5.3979728608,0.3753101818,3.1763502165,0.1093536616,2.3937170147,21.9587507027,416.2944334673,4.9395068625,13.9617922427
310,0.0366291533,0.0253907187,0.0242108138,104.2685835164,1.417083471,1.84585444611083E-05,3.93187751797887E-05,0.0286601221,0.7691375798,4.9998771157,0.0228845555,2.4361657476,7.5834887089,419.9860950762,4.8808103844,23.437671909
317,0.0102766618,1.9967567304,1.5852430465,72.7243897575,0.0557838855,1.3769671068,1.77007970283915E-06,4.4014603266,0.7555578799,2.8476221392,0.2009966479,2.6578628463,3.4864001571,410.4085293491,4.9051593503,35.6549461645
316,0.0257672633,0.4918133374,0.7790516091,79.3164787488,0.0173870802,0.000000125,8.19604125768049E-05,0.0660450826,0.0074542449,0.9336209295,0.0904106848,6.4319855965,1.3873719948,416.3530684894,5.106011938,36.2941754923
315,0.2172729738,0.0299670559,0.0326755746,76.8641729552,0.0666869011,5.14336252667948E-05,0.0002782911,0.0916773071,0.0013961035,0.9313213931,0.0700052041,2.0338009973,8.3316476951,416.5315448581,4.0927446123,32.8368518885
272,0.1459075242,0.1546091021,0.0885245469,71.913051197,0.0827636909,0.0087712209,0.000094216,0.0371121974,1.8581217604,0.638291631,0.0470297534,3.5064714731,2.4890288752,417.224235922,4.7678632972,21.7765639219
276,0.0202273477,0.0182716328,0.0104760894,56.6649127194,0.4145093813,0.3730082342,0.0068717725,3.8725105746,0.2686179742,2.0769034579,0.7082814877,2.6137738457,198.2234671142,414.6157335492,5.1408362357,23.9104973542
279,0.021021162,0.0311234478,7.07377428372778E-05,119.9827116415,0.3749629574,0.7081086733,5.16815603096111E-05,1.4679754683,0.5652523845,1.6752656457,0.0551654755,2.3056043156,3.93783649,422.5520172221,4.6663286907,25.8690095419
1385,0.0836770436,0.1114926145,0.1666644411,49.8583620365,0.1793383481,0.0166682337,2.55294866842659E-05,0.0438117828,0.9221353044,4.7009718086,0.0324036709,2.7435127926,3.9291498837,424.9971178835,5.4047746452,22.0919437527
832,0.1172626886,0.1586342804,0.0696544736,58.889097356,1.6289716088,0.0179452686,0.000052567,0.0299320407,0.0249324672,1.9830188851,0.0288454372,1.9701736007,8.6280419693,424.081555715,5.5759792853,62.6980394942
830,0.0219695241,0.0132763122,0.012225068,115.5022814193,1.2862273956,1.0994356331,3.53789446203586E-06,1.4496619242,0.8518288728,0.7684248133,0.0944857542,5.575363999,199.8953431967,423.8821292498,5.3862305048,54.1501188519
834,0.0505246039,0.0241515974,0.0238041609,81.9667767559,0.0409722936,0.0168950254,1.57131807584422E-06,0.0377799086,1.9607682667,4.6196229643,0.0300303791,2.197065655,7.2965069749,417.1115314767,5.0553771343,39.4080126073
835,0.008648414,0.0306502084,0.0072306534,103.1776149829,0.6024603741,0.5717460341,2.23940557223364E-06,1.5350371383,0.8053796251,1.0848006265,1.9695977779,3.8472912693,3.773863136,422.7079527601,5.1223995326,50.777071984
1359,0.129815914,0.0170228847,0.0055319745,54.9290140151,0.5039437513,1.5804851828,0.001832897,4.5473451029,1.823096482,4.5679114815,0.085002215,1.2817641011,37.0058137861,417.852356126,5.2624072126,77.7472917915
525,0.0279099814,0.0153102841,0.0155279066,93.6644707284,1.4374644921,0.000016537,0.000041994,0.0378216362,2.52258865427585E-05,0.9418410444,0.0152935831,8.0420478082,33.6724202334,417.0614210522,5.3353491581,20.1001723199
3,0.0097575026,0.1415517973,0.1042421261,78.059122815,0.2629028293,0.6086565604,0.0018366914,0.6234314695,0.2863582851,4.7306545661,0.0135802706,3.0694790492,6.6964262075,414.4555468198,4.326627113,14.0744638358
527,0.0215080784,0.0271942897,0.0052229992,88.7837642366,1.7447302946,0.6886230848,6.06947302137304E-07,1.7109685681,1.8842805115,4.9787050056,0.194880743,2.1429886376,4.7793588628,420.6733712825,5.1335434039,14.4170153017
522,0.0240961283,0.0490561713,0.0421955484,81.9694900367,0.0457828502,0.1542787652,0.0002471609,0.2822587659,0.5628814011,2.5544271006,0.0052697933,3.2063322018,184.2656637073,417.1176952265,3.733739765,14.1081708919
369,0.0278630452,0.0266265242,0.0121402835,103.8758205902,0.2723022328,0.2462518944,0.000141824,0.7324110956,0.6277425696,0.7550460388,1.987194208,2.926148729,7.9746655201,419.1193047567,4.7912600979,49.047716401
1403,0.025671739,0.1320411804,0.0960917061,57.6738608218,1.7485286524,0.2698162456,0.0022994294,1.1009813697,1.1503725172,2.0514205499,0.5566569156,3.4124471524,1.4706278692,408.1158184953,5.0369768733,20.8468185084
367,0.0335229374,0.0129621261,0.006500599,105.7967447107,0.8694579882,0.7743681587,0.0034235693,6.3442905647,0.1822204573,4.7309628482,0.2298035203,3.785773974,1.9048226766,418.6389717204,5.2002096583,42.7104283676
1016,0.0326614416,0.0331308972,0.0028555544,78.8685029454,4.61308851834505E-05,6.73110538888793E-06,0.0001858578,0.0503894753,6.74580431602888E-06,0.4540591439,0.0167762807,7.2724364331,1.8448726722,414.6463342408,4.6084024392,33.2500005745
365,0.0181736315,0.0129249477,0.0080983731,96.9359111964,0.1427874297,0.3840466568,7.57551075642814E-05,1.408482367,1.9144847187,0.2775507406,0.0322529017,7.001251765,172.4200961451,424.8008327633,4.9413882259,29.4519940348
1407,1.1741846108,0.1837240497,0.112483143,47.1657189589,0.1613318318,0.0015772022,9.18511034788767E-06,0.0105166555,0.1933465991,4.8749525806,0.0391021603,5.0543342242,1.9084716894,424.0635293059,4.8241326528,35.2455806051
1406,0.1979661239,0.0135298625,0.0054933737,59.21831843,0.1188132668,0.2503056292,1.61290875837244E-07,0.4686316517,0.9943694489,0.332320419,0.0512569329,3.8785003136,9.3220232812,417.7024808017,4.2632540985,47.6288832767
1013,0.0358430841,0.0403989361,0.0035241266,72.7950330247,1.5485470431,0.3208889463,0.000280911,0.3311698388,0.2349613377,0.6762492635,0.0249291382,3.858428562,3.0746850784,412.2062582957,4.5326686302,64.7530198865
448,0.0482144089,0.0344990816,0.034051894,76.26666869,0.0222372055,0.000458561,9.5915478398309E-05,0.0329948535,0.0086196329,2.2297359065,0.0356848159,4.6716747918,1.7531541086,413.5148200894,5.0817010618,22.0401271486
1339,0.0208478161,0.0231313934,0.000020983,86.8469010323,1.0272927929,0.0644458729,2.81381739671587E-08,0.1529182632,1.6261432413,2.7922395213,0.0283224615,1.552026597,17.4502907883,422.0906378309,4.8722126657,66.3965741196
1335,0.013858773,0.0870426183,0.0153220581,96.8749833978,0.5383934886,0.9275033822,0.0007151218,1.1264425954,0.0297045606,0.8334337702,0.075708785,3.9728436302,5.0026561231,416.1638681446,4.6790960321,36.7108555127
1334,0.0207213964,0.017625287,0.0088980899,101.7645682968,1.0035768208,0.4400729752,1.32715851665248E-08,0.7627296695,0.8790277196,0.9166618197,0.1080205682,4.7569330862,199.7203764697,420.9019113646,4.5535872599,32.2743509092
1337,0.0935980095,0.3772215868,0.2833085463,82.1533799305,0.0920264518,0.0332702258,0.000004813,0.020465886,0.0669626916,0.0262673024,0.0325079209,7.0086217624,159.1339152907,421.3359909859,4.9289350604,73.0097539919
440,0.0415901237,0.0237565134,0.0150926466,95.6835658043,1.4166401816,0.0325746663,1.45393578287676E-08,0.0914893534,1.3955794876,2.9539436975,0.0508734145,4.0293622147,1.6959376299,405.2851258779,4.6552571511,22.011419374
1330,0.1722353516,0.4276382251,0.0942987357,64.6208796092,1.7013497577,4.14537675611472E-07,1.87915832510054E-05,0.0105204073,9.30816878014035E-05,3.3215013057,0.0048873091,2.1788442783,9.6997298793,410.7904406119,5.2129160208,44.0371868927
445,0.0191602213,0.0130648716,0.0051820951,103.0232499854,1.4498369066,1.456706693,0.0010654162,3.9417044934,0.9642245083,2.2247812476,0.203951344,4.1140660009,199.9448516368,417.6660451138,4.6345966508,13.9580721204
1332,0.0218315308,0.0258358175,0.0202123688,101.1352879936,0.1808125315,0.0779589941,2.08139200171202E-11,0.2711553927,1.4507430727,4.9910020188,1.2446165536,1.9989594619,7.7546318322,421.2899953567,4.7373998634,28.1212808461
380,0.0328833641,0.052638012,0.0381789422,48.0678457577,0.3333627071,0.0270650034,1.74601602044864E-05,0.0764073435,2.3809522616,0.1863587424,0.0641454953,6.1458295396,1.7927497181,405.346664341,4.1899711407,14.6491130015
382,0.0375447712,0.0879301109,0.0814422513,72.2083616063,0.0970493015,0.0788238705,8.08898188775236E-05,0.2016946772,1.0283953227,4.9499377519,0.3427333983,1.6108578417,8.9693410517,411.3063423345,4.8687215982,33.4973191958
102,0.0405821051,0.0271981945,0.0091018936,69.1485018113,0.1106774793,0.5154938716,0.000031653,0.9728270931,1.1404675255,1.5062090113,0.8042735546,3.0251320625,2.8201118976,422.8794123253,4.3480103712,15.6085138507
389,0.0443301456,0.033545441,0.0783876035,88.7651144501,0.0167799886,0.0014910008,8.82551666859317E-05,0.064849439,0.1899864674,0.8755837095,0.0382298181,6.2862422645,5.8590179674,419.4647344793,4.4766149311,14.2986305166
100,0.0486351675,0.0164006867,0.0334662066,86.8979047879,0.0088014158,2.773005392262E-05,8.72931285134764E-05,0.0708593166,0.0046373166,3.0749903818,0.0066398649,4.0479485698,63.1200796044,417.3349621866,4.5188337166,13.3355539004
101,0.0210900916,0.0329638179,0.0042329742,90.0233304419,1.0889079297,0.4660887176,2.36335530213444E-05,1.0784237698,1.7984254102,4.5068358328,0.0740031307,2.8092225816,3.3974034238,421.7001033103,4.8967999313,20.3586027699
106,1.4783944727,0.0215523475,0.0043990057,79.6286342969,1.0130178798,1.0294365170694E-05,0.0001282555,0.0799478333,0.0164087933,4.9953261951,0.1144539323,2.0574145373,4.2751236534,420.2664376793,4.6316837806,30.8373869414
780,0.1306568495,0.0989009089,0.039547764,69.0491468289,0.0514676175,0.0129677316,4.4970685453915E-05,0.0345497856,0.1958299025,4.9469886666,0.0567136385,1.9705145685,4.7447595779,424.7286411929,4.9993283254,46.2592536445
1411,0.0281386704,0.2042846281,0.0602387816,43.5522674289,0.1187172172,0.0198250683,2.47157218321287E-08,0.034770352,1.2899314456,8.53292197153535E-07,0.0798367115,6.8611621846,1.836103678,415.8194947129,4.8681098442,51.9321221429
33,0.0165446627,0.0388699571,1.30942534618577E-05,119.9936765433,0.0273464562,1.4410279134,3.70927505698156E-05,2.6218857611,1.0461062102,3.4017098465,0.0723091837,3.7880336068,2.5595891019,424.2332845489,4.2751584328,14.6999787652
32,0.0187660818,0.1097219108,0.1033789058,78.2879095058,0.0338865617,0.0966167689,0.0011540259,0.3492222657,0.4429217504,3.1506303085,0.076461543,4.1432445094,1.6149662487,410.9159676498,4.6990698573,13.9966966692
31,0.1802437981,0.1841370363,0.1952962499,44.0768647208,0.0646867197,0.0296854469,0.00000012,0.0537805588,2.1141551493,4.9600415305,0.0332639176,1.3986277979,6.47772138,419.7516487663,4.4689266393,35.4564773262
30,0.0391001903,0.0169004913,0.0297569282,48.4696365711,0.5625932043,0.0307209671,0.0002225316,0.1134588074,0.0122332888,4.5686909641,0.0451249874,2.1480599385,8.2078161605,420.9418849033,4.4006279012,13.9264121957
108,0.0241133164,1.9919326728,0.7899807154,86.5145024771,0.0252513685,0.0002312985,0.0001266673,0.0211363101,0.0083451565,1.5186898329,0.0216383864,3.1191920058,1.7892378224,405.797616547,4.6971379025,56.0998283225
640,0.0274079572,0.0287199085,0.0179907142,99.5597348303,0.6570605538,0.0321204391,4.09437796017414E-10,0.0814829673,0.4670443337,1.6048084783,0.0505824739,3.8629072283,1.8846112875,405.0128267214,4.7001123628,39.0072597127
1242,0.0272516778,0.0162353356,0.0004426858,108.5167380863,1.216457749,0.5638572948,0.0002014989,1.1842892723,1.2651722709,1.70543936,0.1786247154,2.5836627488,12.8281914127,412.6040109263,4.2271131621,23.7932623413
645,0.0567224677,0.2273946832,0.1239370784,72.2596221648,1.1731355942,0.0054583802,0.0001291711,0.0323800516,0.0015658896,1.6392135158,0.0394880205,2.0686925551,198.8255014587,419.7067752928,4.6300782779,23.2589617507
438,0.0263780777,0.0271314901,1.08592663664354E-05,119.9679988353,0.0156409383,0.4449139837,0.000002269,0.9805547946,1.1566615679,2.7769440569,0.174422676,3.3471902851,2.8910177667,424.9999909769,4.5939198899,14.5735969243
439,0.0435955424,0.0182943795,0.0215454406,119.9725172296,0.0105111698,0.0050626301,0.000032752,0.0571419216,1.9607832211,2.7566850766,0.0131315168,3.6774305577,14.9940660804,424.7956237787,5.0300624231,19.0165522975
1249,0.0405223662,0.2008368881,0.046716824,43.5522739245,0.5243277863,0.0211428538,2.74244846374541E-08,0.0346520749,1.3037746583,9.89473526011305E-06,0.062423534,7.0990286597,1.4966819345,415.8174228912,4.085015479,25.6522269821
434,0.0655292123,0.1435046636,0.155133125,48.0231351422,0.2060937723,0.0064789803,2.55234911863157E-05,0.0291308647,0.9037212616,0.2634430787,0.0190924695,5.2836801101,2.0050561552,405.0519342269,5.0005814953,34.5973374679
435,0.0135306447,0.7061029306,0.5936644815,51.6415945758,1.1732416625,0.0195928803,3.66363743050448E-05,0.067024627,0.4643304719,0.8894467646,0.0181020167,4.7812367677,194.1657038518,411.6080547661,4.9388648868,23.818651325
