param1,GrupoG,GrupoI
0.16653,9,15
0.16926,8,15
0.17212,4,1
0.17224,13,3
0.17435,4,1
0.18024,6,1
0.18056,6,11
0.18804,9,10
0.19797,8,11
0.20167,14,16
0.20344,6,15
0.21294,9,14
0.21613,8,16
0.21727,8,15
0.25014,10,3
0.30374,8,16
0.31692,7,10
0.36448,5,15
0.37127,1,11
0.3849,12,2
0.41721,7,15
0.42545,8,17
0.42965,6,11
0.44511,2,1
0.45002,15,8
0.46516,12,3
0.4676,2,11
0.48502,2,11
0.50736,1,15
0.61358,6,19
0.71027,14,2
0.74742,12,15
0.82979,6,11
1.1742,13,12
1.4784,6,11
1.5,11,17
1.6376,1,8
1.6634,12,3
1.858,14,18
1.8588,14,2
1.9999,6,11
