T0,T30,T60,T90,T120
-0.1286,0.6346,-0.5532,0.401,0.1813
-0.2375,0.6397,-0.529,0.4561,0.0056
-0.1375,-0.2002,0.255,-0.5366,0.4885
-0.0002,-0.0002,0.0011,0.0,0.0036
0.0206,-0.0224,0.1298,0.0266,-0.1428
-0.2034,0.1344,-0.5172,0.3379,0.2486
0.0006,-0.000599999999999,0.000900000000001,0.0,-0.0003
-0.1876,0.0072,0.0535,-0.2952,0.4253
-0.0766,-0.1429,0.725,0.4694,-0.5017
-0.1073,0.078,-0.2,0.1517,0.0842
0.011,-0.1568,-0.2047,0.0696,0.2732
0.033,-0.0238,0.4836,-0.0717,-0.4598
0.0143,0.5636,-0.2909,0.245,-0.5071
-0.1396,0.0584,-0.0335,0.1711,-0.0396
-0.0345,0.0301,-0.174,0.113,0.0125
-0.01,0.0109,-0.0617,0.0646,0.0288
0.0004,0.0332,0.3165,0.0464,-0.381
-0.265,0.1918,-0.0306,0.4096,-0.1419
0.0,0.004,-0.0042,-0.002,0.0015
-0.0935,0.3646,-0.5064,0.2439,0.0069
-0.0067,-0.0355,-0.0211,-0.134,0.2641
-0.0971,0.5002,-0.5352,0.1925,0.2531
-0.1287,0.1485,-0.2315,0.0949,0.0951
0.0771,-0.2582,-0.1052,0.0806,0.2575
-0.1533,0.2854,-0.5564,0.3681,0.0977
-0.0074,0.0403,-0.2975,0.1532,0.0609
0.0,0.0,0.0047,0.0005,-0.0002
0.0011,-0.0007,-0.0043,0.0079,-0.007
0.000999999999999,-0.0027,0.0052,-0.003,0.0031
0.0301,-0.1458,0.061,0.4339,-0.389
-0.0157,0.1173,0.0233,-0.0572,-0.0585
-0.0873,0.0744,-0.2573,0.3526,-0.0845
-0.000699999999999,-0.0002,0.0007,-9.99999999998e-05,0.0009
-0.0992,0.033,-0.0891,0.0354,0.1097
-0.0116,0.012,-0.0134,0.1483,-0.1324
-0.1681,0.1971,-0.1593,0.0147,0.0994
0.0043,-0.0965,-0.0096,-0.1348,0.2436
-0.1307,0.0757,0.0099,-0.2456,0.3341
0.0458,-0.0838,-0.0007,0.0924,0.0034
-0.0286,0.0905,-0.2135,0.1778,-0.0047
0.0017,-0.0035,9.99999999998e-05,0.0096,-0.0126
-0.0057,0.0198,-0.0697,0.0816,-0.0288
-0.0956,0.0185,-0.0736,0.158,0.0088
-0.2436,-0.1591,0.3605,-0.2039,0.5064
0.0046,-0.0035,0.0049,-0.0014,0.000500000000001
0.0,-0.0019,0.0009,-0.0002,0.0009
0.0384,-0.1031,-0.0135,0.1236,-0.0413
-0.0009,0.002,-0.0023,0.0025,0.0016
-9.99999999998e-05,-0.000999999999999,9.99999999998e-05,0.0029,0.001
-0.1215,0.2897,-0.0588,-0.4151,0.3275
-0.2339,0.0288,0.0426,0.1981,0.0201
-0.1821,-0.0191,0.0074,0.1798,0.0123
-0.0689,0.0187,0.0391,-0.1055,0.147
-0.0288,-0.0992,0.0563,0.1013,-0.1782
0.0211,0.0036,-0.0075,-0.1172,0.1104
0.0069,-0.0095,0.0321,-0.0458,0.0168
-0.0084,-0.0104,0.0794,-0.1647,0.1063
0.0,0.0021,0.0013,0.000299999999999,-0.0003
0.0114,0.0478,-0.0875,0.0674,-0.0841
-0.0362,0.0406,-0.0406,0.3303,-0.3304
-0.232,0.2122,-0.4998,0.1667,0.3593
0.0002,-0.0016,-0.0027,-0.0042,-0.0015
0.0975,-0.3052,-0.3779,0.1848,0.4345
-0.0258,0.06,-0.1162,0.0786,0.0021
-0.0047,-0.1112,0.0203,0.0154,0.0659
-0.194,0.0655,-0.2249,0.5227,-0.3064
0.0,0.0004,0.0002,-0.0077,0.0018
-0.0416,-0.0148,0.0526,-0.004,0.0087
0.0462,-0.2474,0.1675,0.1513,-0.1161
-0.1785,0.2622,-0.4707,0.3772,-0.0059
0.005,-0.0104,0.0008,0.0222,0.0022
-0.024,-0.2259,0.2243,0.5136,-0.4929
0.1862,0.2998,0.1903,-0.3755,-0.3003
-0.0105,0.0391,-0.0097,0.0539,-0.0735
-0.1055,-0.0326,-0.4715,0.2807,0.3387
0.0408,-0.1502,0.0004,0.3608,-0.307
-0.0583,0.1112,-0.2552,0.1752,0.0616
0.0149,0.0595,-0.0874,-0.04,0.0694
-0.1169,-0.012,-0.0385,-0.1278,0.2191
-0.0316,0.0111,0.3354,-0.0545,-0.2134
-9.99999999998e-05,-0.0165,-0.0019,-0.0344,0.0693
-0.1474,-0.02,-0.1761,0.0548,0.3084
-0.0013,0.0054,-0.0032,0.007,-0.0081
0.002,-0.0285,0.171,-0.2414,0.1073
-0.1281,0.0938,-0.1093,0.1255,-0.0231
0.0277,-0.0087,0.0029,-0.0352,0.0242
0.0246,0.0131,0.0438,0.0164,-0.1045
-0.0602,0.0115,-0.0155,-0.0807,0.1403
-0.0183,0.0625,-0.1006,0.1025,-0.0214
0.0088,0.0562,-0.114,0.1285,-0.0891
0.0048,-0.0322,0.0696,-0.019,-0.0447
-0.1225,-0.0653,-0.0648,0.2948,-0.0032
0.0266,0.019,0.0256,-0.0257,-0.038
-0.2183,0.5695,-0.4601,0.4005,-0.0839
0.0129,0.1014,-0.1997,-0.0729,0.1667
0.0017,-0.2476,0.0046,0.123,0.1219
-0.0439,-0.1242,0.0652,-0.0368,0.0844
-0.000900000000001,0.0014,0.0019,0.0,0.0023
0.0134,-0.0233,-0.0279,0.0046,0.0374
0.0,-0.0008,-0.000699999999999,-0.0014,0.0004
-0.1233,-0.6693,0.5049,-0.3097,0.5855
-0.082,0.3026,-0.6324,0.4419,0.0759
-0.000100000000001,0.003,0.0044,-0.0014,-0.0008
-0.1945,0.1312,-0.5436,-0.4986,0.5536
-0.0005,-0.0023,0.001,0.000599999999999,0.0
0.1749,-0.1189,0.381,-0.2433,-0.0978
-0.0509,-0.0011,0.0209,-0.1301,0.1618
0.0,-0.0016,-0.0004,-0.0026,0.0002
-0.2341,-0.3908,-0.0096,0.4172,0.5843
0.000599999999999,0.0002,0.0004,-0.0058,0.0032
-0.0029,0.0731,-0.126,0.1704,-0.0891
0.0097,-0.0351,0.0335,-0.0456,0.0339
0.0545,-0.0766,-0.0159,0.0991,-0.1322
0.0301,0.0287,0.05,0.0458,-0.1205
-0.137,0.0338,-0.0046,-0.1195,0.2132
-0.0961,0.1174,-0.1809,0.1196,0.0526
-0.2147,-0.0464,0.1531,-0.2527,0.3811
-0.0015,9.99999999998e-05,0.0024,-0.0008,-0.0005
0.1684,-0.1763,-0.1247,0.3517,-0.1979
-0.0059,0.1061,-0.318,0.0817,0.1373
0.1058,-0.4532,0.4037,-0.2299,0.2961
0.0061,-0.3773,0.0023,-0.0888,0.4449
-0.181,0.0653,-0.5126,0.491,-0.0373
-0.0684,0.2039,-0.3655,0.1446,0.0531
0.002,-0.0057,0.0065,-0.0059,0.0066
0.0,-0.000500000000001,-0.0013,-0.0008,0.0008
-0.0288,0.2649,-0.7202,0.6065,0.072
-0.0126,0.0288,-0.0055,-0.0594,0.0638
-0.0015,0.0137,-0.0229,0.0303,-0.0094
-0.1846,0.0807,-0.2112,-0.0492,0.3402
0.0805,0.0671,-0.328,0.1721,-0.0057
-0.000599999999999,-0.0087,0.0061,-0.0174,0.0127
