KSJ,KGJ,KLJ,TAU,KLG,KXG,KXGI,C,LAMBDA1,FGI,KXI,GAMMA,BETA,D,GB,IB,Status
-1.5194868698700073,-1.7623609889030174,-2.05309507159114,2.0133570666672176,-0.029713237262251342,-0.9250658643178308,-9.456801819540765,-0.4990833140312876,0.029320273547507877,-1.0703665929354993,0.2708554629514368,0.5986098452197008,2.3008073318823348,2.6223648172761593,0.6506082563266132,1.711545422499814,N
-1.7139140691649872,-1.8102463007489449,-3.3319562482678813,2.079070749169593,0.03635419120718392,-0.5563139000699893,-9.337962707173752,-0.1172649409299424,0.30961732120962354,-3.466408914173398,-0.7198657647950354,0.6199331191204774,2.3000631569027963,2.6224295972325384,0.667950130644432,1.7839037112239502,N
-1.141417782501573,-1.1981378285759845,-1.472803439586384,1.5420804020296277,0.18847828200260502,-4.447423543081858,-3.860704771081811,-1.3535007738039562,-5.1911460335864765,0.6900586484423941,-1.250455078911188,0.4561786945937484,0.42049742091218495,2.607802583139899,0.6686174045215331,1.3984789094181962,N
-1.5530097085144792,-0.4565365581000562,-0.6159075169487627,2.008906035226766,0.04445781752090242,-2.0611693652456684,-4.2221441572865706,-1.5329889734964093,-1.0649470669268115,-0.19166340175949287,-1.6217776658243883,0.8660577973005996,0.21590793557714344,2.62828791793836,0.7075314085013698,1.4653156484827106,N
-1.759920275594846,-0.12609747734474416,-0.4777384604361032,1.7796796252867626,0.2430344098292617,-1.271927749081576,-10.052305310591027,-0.8723128164205509,0.047180030134795777,-0.6366934289695352,-1.1262633707276648,0.5642483064054841,0.7244979058188094,2.613952513226538,0.6838333034910564,1.844158814488104,N
-1.3739460174421723,-1.5371749517245694,-1.8540888275693332,1.9543839554447011,-1.3231058438363918,0.12354155711410605,-3.0404297586820324,0.4157241884677579,-0.2932935068214805,0.6908717261951205,0.19076417304949125,0.5154173527449628,0.3229516877256519,2.6276640342371063,0.7101325409075395,1.4213698137254462,N
-1.2325370856718012,-1.3103351298352517,-1.7920169531075132,1.8787296753667742,-1.1373928183092414,-0.6218770174089734,-3.699717851512301,-0.6878325928697506,-0.6351334230763147,0.3858723734709666,-1.538113154402614,0.2266127321180936,0.595867824244689,2.61945948832284,0.6984581770978652,1.945206495508618,N
-1.321648923931112,-1.6388713540475768,-2.106846515147682,1.6790289250834096,0.08996079699162847,-0.1123015106684801,-2.2662339008442127,0.4301305340801601,-0.25181364425524466,0.6551093327047162,-1.0474412319922015,0.40778600752901417,0.43685050297070205,2.6096606127451274,0.6610520726476827,1.2606947436064264,N
-0.8123654296886519,-1.909683672257664,-2.0551637833541863,1.7459476072253448,-0.13035461213151334,-0.4847194111389678,-3.3477908996524586,-0.13768533191680565,-0.6484065494266192,-1.0000809296308562,0.3010251584868183,0.8035451867191501,1.9042073107746127,2.6282021130651136,0.6827511004103831,1.710117760635388,N
-1.630630286690594,-1.7120234838087365,-2.237219700268254,1.9516820041347347,-0.4756779755047015,-0.4211965609452268,-2.8422614700964512,0.2734021189214709,-0.05852000814456864,0.6978161365781892,-1.2318546985164134,0.4552784029255449,0.2446041506357865,2.6248993131792644,0.67864036604268,1.6998903876399485,N
