,G120,G30,G60,G90,GB,GG,GI,P1,P10,P11,P12,P13,P14,P15,P16,P2,P3,P4,P5,P6,P7,P8,P9
G120,1.0,0.4088505461109511,0.44690486917349226,0.4243580438202806,0.25382541396497155,0.30256319318179115,0.19488105177547088,0.7749523018452762,0.7684086751182484,0.7737401823525878,0.7749523018452762,0.7716979199279799,0.7426331385122377,0.7658684280217786,0.7694587665755895,0.7759709940165316,0.7759709940165316,0.7578722577102996,0.7759709940165316,0.7759709940165316,0.7759709940165316,0.7749523018452762,0.7716979199279798
G30,0.4088505461109513,1.0,0.4376519182119542,0.42073033026921147,0.23723189743652107,0.2945540759581557,0.18892003872952826,0.7717366713809533,0.7658769764918901,0.7705151890457378,0.7724685320891823,0.7684571420230959,0.7376660630490058,0.7618440263281532,0.7684029625250554,0.7727632290701814,0.7727632290701814,0.753782491203431,0.7727632290701814,0.7727632290701814,0.7727632290701814,0.7717366713809531,0.7684571420230959
G60,0.4469048691734925,0.4376519182119541,1.0,0.4613025284239594,0.27994026710241243,0.38218171915973015,0.23402522826912311,0.8001947976641147,0.7940375413573617,0.7997605786775366,0.8001947976641146,0.797839657632198,0.7684168529592121,0.79095808300104,0.7957336505532898,0.8011534252060751,0.8011534252060751,0.7841457844989262,0.8011534252060751,0.8011534252060751,0.8011534252060751,0.8001947976641147,0.7971324543744849
G90,0.424358043820281,0.42073033026921114,0.4613025284239594,1.0,0.26466975914203744,0.3691509309413109,0.2138353877890683,0.7847384993856412,0.7790693011394538,0.7835545131167398,0.7847384993856411,0.7822807619492557,0.7531984743806558,0.7758737278961502,0.7815385095455437,0.7857335574980954,0.7857335574980954,0.7702449446962618,0.7857335574980954,0.7857335574980954,0.7857335574980954,0.7847384993856414,0.7815596799656407
GB,0.25382541396497155,0.23723189743652096,0.27994026710241243,0.2646697591420375,1.0,0.15728272628482187,0.09260644590965263,0.6593954504877282,0.6507972632721478,0.6586596355564811,0.659395450487728,0.6551198545256733,0.6209266247791413,0.6638642765148435,0.6521773810460492,0.6607335640730087,0.6607335640730087,0.6380294995745074,0.6607335640730087,0.6607335640730087,0.6607335640730087,0.6593954504877282,0.6614460045146652
GG,0.3025631931817912,0.29455407595815547,0.38218171915973037,0.3691509309413114,0.15728272628482184,1.0,0.1098940865693705,0.6453876522911122,0.637378571879504,0.6437419166369192,0.6453876522911121,0.6418446618867567,0.6082133626896419,0.6355707360405853,0.6388045186891386,0.6467706226386148,0.6467706226386148,0.6285779054006131,0.6467706226386148,0.6467706226386148,0.6467706226386148,0.6453876522911122,0.6409686506821628
GI,0.19488105177547085,0.18892003872952823,0.23402522826912323,0.2138353877890682,0.0926064459096526,0.10989408656937046,1.0,0.5916615627016173,0.5825217953785841,0.5897919075951144,0.5916615627016173,0.5885513034878577,0.5483497047514718,0.5784288670495283,0.5860545465728687,0.5932326509721533,0.5932326509721533,0.5783597221350754,0.5932326509721533,0.5932326509721533,0.5932326509721533,0.5916615627016173,0.5866411648220062
P1,0.7749523018452731,0.7717366713809508,0.8001947976641138,0.7847384993856394,0.659395450487729,0.6453876522911084,0.5916615627016163,1.0,0.9952345767567565,0.9981945935955019,0.9988682500258481,0.9970601534755205,0.9797692089684893,0.9934198667125693,0.9958171854945783,0.9994346048821202,0.9994346048821202,0.9889926437752747,0.9994346048821202,0.9994346048821202,0.9994346048821202,0.9988682500258481,0.9970601534755202
P10,0.7684086751182464,0.7658769764918885,0.7940375413573613,0.7790693011394514,0.6507972632721487,0.6373785718795005,0.5825217953785827,0.9952345767567561,1.0,0.9945535695494416,0.9952345767567556,0.9934067357885459,0.9765035113986226,0.989726552292989,0.9921501669752575,0.9958071064505248,0.9958071064505248,0.985824139106154,0.9958071064505248,0.9958071064505248,0.9958071064505248,0.9952345767567559,0.9934067357885459
P11,0.773740182352586,0.7705151890457366,0.7997605786775361,0.7835545131167377,0.6586596355564818,0.6437419166369164,0.5897919075951136,0.9981945935955019,0.9945535695494425,1.0,0.9981945935955018,0.9963828437903011,0.9790565104801816,0.9927351750323592,0.995137359282554,0.998762090963937,0.998762090963937,0.988298925554253,0.998762090963937,0.998762090963937,0.998762090963937,0.998194593595502,0.9963828437903007
P12,0.7749523018452734,0.7724685320891802,0.800194797664113,0.7847384993856389,0.6593954504877284,0.6453876522911091,0.5916615627016162,0.9988682500258481,0.9952345767567565,0.9981945935955018,1.0,0.9970601534755206,0.9797692089684896,0.9934198667125694,0.9958171854945783,0.9994346048821202,0.9994346048821202,0.9889926437752747,0.9994346048821202,0.9994346048821202,0.9994346048821202,0.9988682500258481,0.9970601534755206
P13,0.771697919927978,0.7684571420230936,0.7978396576321972,0.7822807619492536,0.6551198545256736,0.6418446618867534,0.5885513034878561,0.9970601534755205,0.993406735788547,0.996382843790301,0.9970601534755205,1.0,0.9778562444293881,0.9915821291411882,0.9939925167156038,0.9976295771569805,0.9976295771569805,0.9877032072909034,0.9976295771569805,0.9976295771569805,0.9976295771569805,0.9970601534755206,0.9952422441655683
P14,0.7426331385122369,0.7376660630490051,0.768416852959211,0.7531984743806538,0.6209266247791432,0.6082133626896408,0.5483497047514708,0.9797692089684888,0.9765035113986221,0.9790565104801816,0.9797692089684887,0.9778562444293872,1.0,0.9740040572328633,0.9765410390987636,0.980368360205409,0.980368360205409,0.9722308683018339,0.980368360205409,0.980368360205409,0.980368360205409,0.9797692089684884,0.9778562444293871
