,G120,G30,G60,G90,GB,GG,GI,P1,P10,P11,P12,P13,P14,P15,P16,P2,P3,P4,P5,P6,P7,P8,P9
P15,0.7658684280217768,0.7618440263281517,0.7909580830010392,0.7758737278961483,0.6638642765148441,0.6355707360405829,0.578428867049527,0.9934198667125695,0.9897265522929899,0.9927351750323593,0.9934198667125693,0.9915821291411884,0.9740040572328642,1.0,0.9903187431204629,0.9939954914585392,0.9939954914585392,0.983381487967909,0.9939954914585392,0.9939954914585392,0.9939954914585392,0.9934198667125694,0.9915821291411885
P16,0.7694587665755874,0.7684029625250534,0.7957336505532886,0.781538509545542,0.6521773810460503,0.6388045186891357,0.5860545465728682,0.9958171854945783,0.9921501669752579,0.9951373592825539,0.9958171854945783,0.9939925167156038,0.9765410390987634,0.9903187431204626,1.0,0.9963887231221911,0.9963887231221911,0.9858505733099381,0.9963887231221911,0.9963887231221911,0.9963887231221911,0.9958171854945785,0.9939925167156035
P2,0.7759709940165288,0.7727632290701794,0.8011534252060742,0.7857335574980933,0.6607335640730094,0.6467706226386114,0.5932326509721523,0.9994346048821202,0.9958071064505254,0.998762090963937,0.9994346048821202,0.9976295771569806,0.9803683602054099,0.9939954914585392,0.9963887231221912,1.0,1.0,0.9895758510547058,1.0,1.0,1.0,0.9994346048821204,0.9976295771569805
P3,0.7759709940165287,0.7727632290701794,0.8011534252060748,0.7857335574980933,0.6607335640730096,0.6467706226386116,0.5932326509721525,0.9994346048821202,0.9958071064505255,0.998762090963937,0.9994346048821202,0.9976295771569806,0.9803683602054103,0.9939954914585389,0.9963887231221911,1.0,1.0,0.9895758510547059,1.0,1.0,1.0,0.9994346048821204,0.9976295771569806
P4,0.7578722577102986,0.7537824912034299,0.7841457844989256,0.7702449446962593,0.6380294995745089,0.6285779054006105,0.578359722135074,0.9889926437752746,0.9858241391061544,0.9882989255542531,0.9889926437752743,0.9877032072909034,0.9722308683018344,0.9833814879679083,0.985850573309938,0.9895758510547055,0.9895758510547055,1.0,0.9895758510547055,0.9895758510547055,0.9895758510547055,0.9889926437752746,0.9871306606673883
P5,0.7759709940165296,0.7727632290701792,0.8011534252060744,0.7857335574980928,0.6607335640730095,0.6467706226386108,0.5932326509721522,0.9994346048821202,0.9958071064505255,0.998762090963937,0.9994346048821201,0.9976295771569808,0.9803683602054101,0.9939954914585388,0.9963887231221914,1.0,1.0,0.9895758510547058,1.0,1.0,1.0,0.9994346048821202,0.9976295771569803
P6,0.77597099401653,0.7727632290701796,0.8011534252060749,0.785733557498093,0.6607335640730095,0.6467706226386113,0.5932326509721516,0.9994346048821202,0.9958071064505257,0.998762090963937,0.9994346048821201,0.9976295771569806,0.9803683602054096,0.9939954914585388,0.9963887231221911,1.0,1.0,0.9895758510547057,1.0,1.0,1.0,0.9994346048821202,0.9976295771569806
P7,0.775970994016529,0.7727632290701797,0.8011534252060745,0.7857335574980924,0.6607335640730091,0.6467706226386115,0.5932326509721524,0.9994346048821202,0.9958071064505257,0.998762090963937,0.9994346048821201,0.9976295771569806,0.9803683602054101,0.9939954914585388,0.9963887231221912,1.0,1.0,0.9895758510547055,1.0,1.0,1.0,0.9994346048821204,0.9976295771569808
P8,0.7749523018452747,0.7717366713809515,0.8001947976641142,0.7847384993856393,0.6593954504877287,0.645387652291109,0.5916615627016161,0.9988682500258481,0.9952345767567566,0.9981945935955019,0.998868250025848,0.9970601534755206,0.9797692089684892,0.9934198667125691,0.9958171854945786,0.9994346048821202,0.9994346048821202,0.9889926437752743,0.9994346048821202,0.9994346048821202,0.9994346048821202,1.0,0.9970601534755205
P9,0.7716979199279778,0.7684571420230946,0.7971324543744849,0.7815596799656378,0.6614460045146658,0.6409686506821601,0.586641164822005,0.9970601534755201,0.9934067357885462,0.9963828437903006,0.9970601534755198,0.9952422441655681,0.9778562444293873,0.9915821291411872,0.9939925167156034,0.9976295771569802,0.9976295771569802,0.987130660667388,0.9976295771569802,0.9976295771569802,0.9976295771569802,0.9970601534755201,1.0
