Feature,Average,Standar Deviation,Variance,Max Value,Min Value
G0,4.754545454545456,0.3616504212007274,0.13079102715466354,5.6,3.5
G30,6.792857142857144,1.0451562452544758,1.092351576994434,8.9,3.8
G60,6.2,1.3259318376505023,1.7580952380952382,8.9,3.0
G90,5.637662337662339,1.191986841610632,1.4208326305728902,8.7,2.9
G120,5.393506493506494,1.0141002873557314,1.0283993928149773,7.7,2.1
I0,34.74242424242424,19.361135507738762,374.8535681490227,103.0,14.0
I30,315.52597402597405,154.9476045244353,24008.760147860798,695.0,14.0
I60,310.25757575757575,138.79249162923472,19263.355732651187,695.0,35.0
I90,265.5995670995671,118.90589716563674,14138.61238076498,685.0,45.0
I120,227.21212121212122,95.83882587822593,9185.080545716908,415.0,24.0
