,c2,c3,c6,c7,c8,c9
c2,1.0,0.5786422599169742,0.5647422651228604,0.6408923336019859,0.6214250134418274,0.3020976197251405
c3,0.5786422599169742,1.0,0.4946840657080853,0.5811234989571075,0.5659615069707363,0.23486726554112228
c6,0.5647422651228604,0.4946840657080853,1.0,0.566940077644714,0.5440371382224013,0.168697003687561
c7,0.640892333601986,0.5811234989571074,0.5669400776447139,1.0,0.7843724374344904,0.3671784766044609
c8,0.6214250134418274,0.5659615069707363,0.5440371382224013,0.7843724374344903,1.0,0.31751969622329856
c9,0.30209761972514043,0.23486726554112228,0.168697003687561,0.36717847660446085,0.31751969622329856,1.0
