,BETA,C,D,FGI,GAMMA,GB,IB,KGJ,KLG,KLJ,KSJ,KXG,KXGI,KXI,LAMBDA1,TAU
BETA,1.0,0.467433813478053,0.3968750925389212,0.5049979538512992,0.3533861260643614,0.4259547468111298,0.3964632722522331,0.41675638530558723,0.5320304132436046,0.4826253419878539,0.41322486474181785,0.5068165065996418,0.5119854940324995,0.34817580091181954,0.41852943064606896,0.44180048100021335
C,0.467433813478053,1.0,0.518315181989877,0.6838475436183015,0.3950250558198736,0.5139816482236508,0.5287657200163783,0.38739406368445367,0.6752529263822701,0.4539852926113502,0.28269431622343133,0.8289104451081907,0.650333107976052,0.5957230901220497,0.593860673586573,0.5147271334695058
D,0.39687509253892117,0.518315181989877,1.0,0.6156444879328125,0.5014392625527301,0.5155927607642783,0.5355381925913401,0.4756929756147537,0.5433566267066391,0.5297159269859144,0.5072576618358996,0.5774956724387337,0.5646612282359968,0.4860005957449138,0.5657953462478346,0.5700556635949754
FGI,0.5049979538512993,0.6838475436183016,0.6156444879328125,1.0,0.4090121122260071,0.597453096669358,0.6198837346398516,0.5960341180097574,0.6744583529531635,0.6640728438150786,0.5377593488547528,0.7329073307961526,0.6878591311130648,0.5994518036829476,0.637064821406899,0.6599009001905592
GAMMA,0.35338612606436137,0.3950250558198737,0.5014392625527301,0.40901211222600703,1.0,0.49823171958465223,0.5182723456468217,0.4448550207595635,0.547224127717174,0.520030707366056,0.5562744353121007,0.49214391909386995,0.5325673348727288,0.41958011406055995,0.5313079182548611,0.512984994703995
GB,0.4259547468111298,0.5139816482236508,0.5155927607642783,0.5974530966693581,0.4982317195846521,1.0,0.5990385149922093,0.5032171488260925,0.5957497243489034,0.5746790115231348,0.4828983895373386,0.5848923839293972,0.5676338933584348,0.4296117313992179,0.5648560322369744,0.5045795981596681
IB,0.3964632722522331,0.5287657200163784,0.5355381925913402,0.6198837346398516,0.5182723456468216,0.5990385149922093,1.0,0.5061909936245229,0.6007094672300806,0.5620392528203296,0.5476592335071627,0.6210854731788517,0.5789489998021318,0.5633881339369894,0.5476066257131431,0.598422719983346
KGJ,0.41675638530558706,0.3873940636844537,0.4756929756147537,0.5960341180097574,0.4448550207595635,0.5032171488260925,0.5061909936245229,1.0,0.5249845875822752,0.821153873951211,0.472001397789658,0.46399431313788336,0.5223173431513625,0.366823033156359,0.5476083234135247,0.41163298915742363
KLG,0.5320304132436044,0.6752529263822701,0.5433566267066391,0.6744583529531634,0.547224127717174,0.5957497243489034,0.6007094672300806,0.5249845875822752,1.0,0.5700954129848665,0.4837474842550195,0.7286847771452248,0.6349835132112166,0.5429807707475536,0.5834767581114848,0.5563292915409865
KLJ,0.4826253419878539,0.45398529261135034,0.5297159269859144,0.6640728438150786,0.5200307073660562,0.5746790115231348,0.5620392528203296,0.8211538739512109,0.5700954129848667,1.0,0.6004475396832449,0.5374411797212387,0.6472821127850769,0.43518240115240675,0.6329923372402682,0.4938734115903404
KSJ,0.41322486474181785,0.2826943162234314,0.5072576618358997,0.5377593488547528,0.5562744353121009,0.4828983895373386,0.5476592335071627,0.472001397789658,0.4837474842550196,0.6004475396832448,1.0,0.43635387355538396,0.5716287014925102,0.4173615583995069,0.5136209547818237,0.6002680643119368
KXG,0.506816506599642,0.8289104451081908,0.5774956724387337,0.7329073307961527,0.49214391909387,0.5848923839293972,0.6210854731788517,0.4639943131378835,0.7286847771452248,0.5374411797212387,0.43635387355538396,1.0,0.629392142302864,0.6449304423542966,0.6202545881228687,0.6265068684593699
KXGI,0.5119854940324995,0.6503331079760523,0.564661228235997,0.687859131113065,0.5325673348727289,0.5676338933584348,0.5789489998021318,0.5223173431513625,0.6349835132112167,0.6472821127850769,0.5716287014925102,0.629392142302864,1.0,0.5478002121152453,0.7027896911641112,0.6072654580556776
KXI,0.34817580091181954,0.5957230901220499,0.4860005957449138,0.5994518036829476,0.41958011406056,0.4296117313992179,0.5633881339369894,0.366823033156359,0.5429807707475537,0.43518240115240675,0.417361558399507,0.6449304423542968,0.5478002121152453,1.0,0.48037758989118573,0.588159626618102
LAMBDA1,0.41852943064606896,0.5938606735865729,0.5657953462478346,0.637064821406899,0.5313079182548611,0.5648560322369743,0.5476066257131431,0.5476083234135248,0.5834767581114848,0.6329923372402682,0.5136209547818236,0.6202545881228687,0.702789691164111,0.48037758989118556,1.0,0.575722107305917
TAU,0.44180048100021335,0.5147271334695058,0.5700556635949754,0.6599009001905591,0.5129849947039951,0.5045795981596681,0.5984227199833458,0.4116329891574235,0.5563292915409864,0.4938734115903404,0.6002680643119368,0.6265068684593698,0.6072654580556774,0.5881596266181018,0.575722107305917,1.0
