,GI,I120,I30,I60,I90,IB
GI,1.0,0.47725778387421836,0.514761031195899,0.5203673779491883,0.4969773684878821,0.25640296735727797
I120,0.4772577838742185,1.0,0.8919127938289193,0.888470197332852,0.8797344027330325,0.6926147339965425
I30,0.5147610311958997,0.8919127938289194,1.0,0.905312224845643,0.8969539885954286,0.7162044690779338
I60,0.5203673779491886,0.8884701973328532,0.9053122248456426,1.0,0.8935588265162856,0.7112689224323493
I90,0.4969773684878825,0.8797344027330335,0.896953988595429,0.8935588265162859,1.0,0.700283614053709
IB,0.25640296735727813,0.6926147339965422,0.7162044690779333,0.711268922432349,0.7002836140537088,1.0
