,K0,K1,K2,K3,S0
K0,1.0,1.0,1.0,1.0,1.0
K1,1.0,1.0,1.0,1.0,1.0
K2,1.0,1.0,1.0,1.0,1.0
K3,1.0,1.0,1.0,1.0,1.0
S0,1.0,1.0,1.0,1.0,1.0
