,S0,S100,S150,S50
S0,1.0,0.9862978937372713,0.9941300900342457,0.9872842902635123
S100,0.9862978937372713,1.0,0.9983347560322215,0.9999810819937659
S150,0.9941300900342457,0.9983347560322215,1.0,0.9986703468864712
S50,0.9872842902635123,0.9999810819937659,0.9986703468864712,1.0
