T0,T30,T60,T90,T120
1.872,-21.59,22.35,-8.02,10.23
-3.72,-8.48,12.59,1.66,5.49
0.335,-0.7,-4.18,-6.66,7.11
-0.381,2.21,-7.23,6.74,0.0
-0.709,-0.02,2.01,-1.03,0.53
0.123,6.18,0.51,12.2,-10.714
0.139,-0.65,15.92,-10.37,-4.06
-0.052,-9.57,7.84,14.33,-16.76
-0.357,5.86,-6.13,-7.41,10.18
-0.171,-7.58,15.618,-0.901,-1.816
-1.65,22.72,-23.19,28.59,-9.09
-0.587,31.66,-56.03,-40.9,28.91
0.75,8.86,-9.12,11.03,-16.77
0.431,8.45,-7.98,-9.17,10.23
0.644,-0.48,-3.36,13.0,-7.9
0.077,-0.45,-2.1,3.0,-0.48
0.3,4.97,3.979,-1.22,-5.45
0.258,-0.47,-1.06,0.49,-2.74
0.155,9.96,-6.63,-12.63,7.6
1.343,-0.03,0.89,-1.71,-0.83
-0.713,0.67,-0.82,0.58,-0.03
-0.29,0.92,-1.69,1.28,0.12
-0.409,25.02,-19.96,9.69,-20.18
1.131,43.47,-43.96,28.96,-33.29
1.343,-10.06,17.02,-15.74,2.75
0.264,8.6,-9.8,-6.57,5.75
-0.094,2.252,5.11,-6.8,3.16
0.129,-1.6,-6.35,16.27,-7.58
-0.646,-32.17,9.96,11.44,3.905
1.17,30.22,-50.95,24.92,-20.72
0.136,-0.21,-1.13,-0.18,0.13
-1.033,-11.19,-19.37,-12.25,21.8
-0.284,-0.42,-0.58,0.57,-0.16
0.632,8.22,-10.42,12.81,-10.5
0.578,0.00999999999999,4.81,0.47,-9.85
-0.395,0.663,0.46,-2.81,3.337
2.29,-3.52,5.37,-5.64,2.54
0.482,-28.38,20.23,43.02,-33.342
1.691,-3.04,4.72,-17.45,20.97
0.264,-12.38,17.1,-25.363,2.46
-1.991,15.02,-77.84,30.56,1.05
-0.673,1.64,-5.3,8.54,-6.9
-0.204,93.83,-62.8,54.19,20.59
1.299,-22.76,16.91,-12.82,6.61
-1.536,14.89,-40.25,28.1,5.53
-0.768,11.12,-13.73,5.73,2.46
-1.577,0.1,0.32,0.1,0.31
-0.007,-0.03,-0.14,-0.11,0.03
0.841,-15.18,7.43,21.57,-14.8
