s0,s1,s2,s3,s4,s5
0,0,0,0,0,0
0.34282,0.14438,0.32241,0.28679,0.075625,0.16806
0.69629,0.29325,0.65485,0.5825,0.1536,0.34135
1.0609,0.4468,0.99772,0.8875,0.23403,0.52008
1.437,0.60522,1.3515,1.2022,0.317,0.70449
1.8252,0.76872,1.7166,1.527,0.40264,0.89481
2.226,0.93753,2.0935,1.8623,0.49106,1.0913
2.64,1.1119,2.4829,2.2086,0.58238,1.2942
3.0677,1.292,2.8851,2.5664,0.67672,1.5039
3.5097,1.4781,3.3008,2.9361,0.77423,1.7206
3.9667,1.6706,3.7306,3.3184,0.87504,1.9446
4.4393,1.8697,4.1751,3.7139,0.97931,2.1763
4.9284,2.0756,4.635,4.123,1.0872,2.4161
5.4346,2.2888,5.1111,4.5465,1.1989,2.6643
5.9588,2.5096,5.6041,4.985,1.3145,2.9212
6.5018,2.7383,6.1147,5.4392,1.4343,3.1874
7.0645,2.9753,6.644,5.91,1.5584,3.4633
7.648,3.221,7.1927,6.3982,1.6871,3.7494
8.2532,3.4759,7.7619,6.9045,1.8206,4.0461
8.8812,3.7404,8.3526,7.4299,1.9592,4.354
9.5333,4.0151,8.9658,7.9754,2.103,4.6736
10.211,4.3003,9.6028,8.542,2.2524,5.0056
10.914,4.5967,10.265,9.1308,2.4077,5.3507
11.646,4.9049,10.953,9.743,2.5691,5.7095
12.408,5.2256,11.669,10.38,2.7371,6.0827
13.2,5.5593,12.414,11.043,2.9119,6.4711
14.025,5.9068,13.19,11.733,3.0939,6.8756
14.885,6.2689,13.999,12.452,3.2835,7.2971
15.781,6.6464,14.842,13.202,3.4813,7.7365
16.716,7.0402,15.721,13.984,3.6875,8.1949
17.692,7.4512,16.639,14.801,3.9028,8.6734
18.711,7.8805,17.598,15.654,4.1277,9.1731
19.777,8.3292,18.599,16.545,4.3627,9.6954
20.891,8.7984,19.647,17.477,4.6085,10.242
22.057,9.2895,20.744,18.452,4.8657,10.813
23.278,9.8037,21.892,19.474,5.135,11.412
24.557,10.343,23.096,20.544,5.4173,12.039
25.899,10.908,24.358,21.667,5.7133,12.697
27.308,11.501,25.682,22.845,6.0241,13.387
28.787,12.124,27.074,24.083,6.3505,14.113
30.343,12.779,28.537,25.384,6.6936,14.875
31.979,13.469,30.076,26.753,7.0546,15.678
33.703,14.194,31.697,28.195,7.4348,16.523
35.52,14.959,33.405,29.715,7.8355,17.413
37.436,15.767,35.208,31.318,8.2583,18.353
39.46,16.619,37.111,33.012,8.7048,19.345
41.6,17.52,39.124,34.802,9.1768,20.394
43.864,18.474,41.253,36.696,9.6764,21.504
46.263,19.484,43.509,38.703,10.206,22.68
48.807,20.556,45.902,40.831,10.767,23.927
51.509,21.694,48.443,43.091,11.363,25.252
54.381,22.903,51.144,45.494,11.996,26.66
57.438,24.191,54.019,48.052,12.671,28.159
60.697,25.563,57.084,50.778,13.39,29.756
64.176,27.028,60.356,53.688,14.157,31.462
67.894,28.594,63.853,56.799,14.977,33.285
71.875,30.271,67.597,60.129,15.856,35.236
76.144,32.069,71.611,63.7,16.797,37.329
80.728,34,75.923,67.536,17.809,39.576
85.661,36.077,80.562,71.663,18.897,41.995
90.978,38.317,85.563,76.111,20.07,44.601
96.721,40.735,90.964,80.915,21.336,47.417
102.94,43.352,96.808,86.113,22.707,50.463
109.67,46.191,103.15,91.751,24.194,53.767
117,49.276,110.04,97.879,25.81,57.358
124.98,52.637,117.54,104.56,27.57,61.27
133.7,56.308,125.74,111.85,29.493,65.544
143.24,60.329,134.72,119.84,31.6,70.225
153.73,64.746,144.58,128.61,33.913,75.365
165.28,69.611,155.44,138.27,36.461,81.028
178.05,74.988,167.45,148.95,39.277,87.287
192.21,80.951,180.77,160.8,42.401,94.229
207.97,87.59,195.59,173.98,45.878,101.96
225.59,95.008,212.16,188.72,49.764,110.59
245.36,103.34,230.75,205.26,54.125,120.28
267.65,112.72,251.72,223.91,59.043,131.21
292.91,123.36,275.48,245.05,64.616,143.6
321.7,135.49,302.55,269.13,70.966,157.71
354.7,149.38,333.58,296.73,78.245,173.89
392.76,165.42,369.38,328.58,86.643,192.55
437,184.05,410.99,365.58,96.401,214.23
488.81,205.87,459.71,408.93,107.83,239.63
550.03,231.65,517.29,460.14,121.33,269.65
623.08,262.42,585.99,521.26,137.45,305.46
711.22,299.54,668.89,594.99,156.89,348.67
