Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
AdaBoostClassifier,Algorithm:SAMME-n_estimators:10,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME-n_estimators:50,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME-n_estimators:100,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME-n_estimators:200,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME-n_estimators:500,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME-n_estimators:1000,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME-n_estimators:1500,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME-n_estimators:2000,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:10,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:50,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:100,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:200,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:500,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:1000,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:1500,CV-10,1.0,1.0,1.0,1.0
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:2000,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:True-n_estimators:10,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:True-n_estimators:50,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:True-n_estimators:100,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:True-n_estimators:200,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:True-n_estimators:500,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:True-n_estimators:1000,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:True-n_estimators:1500,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:True-n_estimators:2000,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:10,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:50,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:100,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:200,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:500,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:1000,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:1500,CV-10,1.0,1.0,1.0,1.0
Bagging,bootstrap:False-n_estimators:2000,CV-10,1.0,1.0,1.0,1.0
BernoulliNB,Default,CV-10,0.7590779846253589,0.3170329670329671,0.5477994227994227,0.33002270876982376
DecisionTree,criterion:gini-splitter:best,CV-10,1.0,1.0,1.0,1.0
DecisionTree,criterion:gini-splitter:random,CV-10,0.9556265629341482,0.9318681318681319,0.9054113696760755,0.8507198153060223
DecisionTree,criterion:entropy-splitter:best,CV-10,1.0,1.0,1.0,1.0
DecisionTree,criterion:entropy-splitter:random,CV-10,0.990136612021858,0.9571428571428571,0.9803571428571429,0.9352511603276954
GaussianNB,Default,CV-10,0.4675067148281931,0.8741758241758241,0.3456380591097964,0.4331789345474489
GradientBoostingClassifier,n_estimators:10-loss:deviance-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:50-loss:deviance-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:100-loss:deviance-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:200-loss:deviance-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:500-loss:deviance-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:1000-loss:deviance-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:1500-loss:deviance-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:2000-loss:deviance-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:10-loss:exponential-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:50-loss:exponential-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:100-loss:exponential-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:200-loss:exponential-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:500-loss:exponential-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
GradientBoostingClassifier,n_estimators:1000-loss:exponential-min_samples_split:2-min_samples_leaf:1,CV-10,1.0,1.0,1.0,1.0
