,AAMT,AAWT,ChainID,DDG,MT_DEPTH,MT_OSP,MT_RSA,MT_SSE,Outcome,Pos,Response,WT_DEPTH,WT_OSP,WT_RSA,WT_SSE
AAMT,1.0,0.05886173311572943,0.06270483285889811,0.16234061649243922,0.14719331091595456,0.1116458455136316,0.16947619907273376,0.1391067897875421,0.08178521112660676,0.1365991877089976,0.1708821868483289,0.14162606219843127,0.11297916763519567,0.10850320007449764,0.1606853604015118
AAWT,0.05886173311572943,1.0,0.040005458383248614,0.6411254405808625,0.3204227238948244,0.41634036384503414,0.6461399923369419,0.19429673161518013,0.1087836219666386,0.671604218332379,0.6304955516470713,0.3339252142114748,0.40461134571786095,0.6503100347782427,0.17936323266682067
ChainID,0.06270483285889811,0.040005458383248614,1.0,0.3200132096432457,0.12162803116617844,0.13737556323768177,0.3566538263946513,0.3778123077808247,0.018915826341628854,0.37736330631909415,0.3757611081952825,0.09561643306567087,0.14246490493037903,0.3472535164381572,0.31833464873470524
DDG,0.1623406164924391,0.6411254405808631,0.3200132096432459,1.0,0.7114173880273529,0.7933117509078687,0.9314941511210336,0.5731901844245954,0.39589973092336883,0.9435772164511775,0.9197416447084109,0.7139217551333377,0.7801946294407336,0.9218272159329283,0.5723595495605699
MT_DEPTH,0.14719331091595456,0.32042272389482424,0.12162803116617843,0.7114173880273534,1.0,0.5975093533369745,0.7735386735309092,0.3108252587112165,0.20191133366370628,0.7858211272624122,0.7527222782015722,0.6269829075737847,0.6007885133006081,0.7642286364452227,0.3065269736706155
MT_OSP,0.11164584551363156,0.4163403638450345,0.1373755632376818,0.7933117509078683,0.5975093533369747,1.0,0.8435964538810331,0.3797726928232254,0.13363009708412174,0.8614716418991526,0.8343779347050561,0.5875988299617037,0.6900276829891538,0.8369718295102055,0.37701547308983774
MT_RSA,0.16947619907273367,0.6461399923369424,0.35665382639465154,0.9314941511210338,0.7735386735309094,0.8435964538810331,1.0,0.5752220746433657,0.3674877167041109,0.9801884426857637,0.9587243856324761,0.7666300625164766,0.8368680377783424,0.9659154332693127,0.5744494821124239
MT_SSE,0.1391067897875421,0.19429673161518018,0.3778123077808247,0.5731901844245952,0.3108252587112165,0.37977269282322523,0.5752220746433656,1.0,0.08653096641685021,0.6052368375400269,0.5713051249502377,0.304205183778738,0.35242800423177834,0.5652362106423574,0.8898901503394393
Outcome,0.08178521112660676,0.10878362196663863,0.018915826341628854,0.39589973092336883,0.20191133366370637,0.13363009708412174,0.3674877167041111,0.08653096641685021,1.0,0.3708544535522002,0.31545788987404666,0.1319371054186704,0.15851454197759243,0.3522710575211879,0.08657687728590922
Pos,0.13659918770899696,0.6716042183323794,0.37736330631909415,0.9435772164511772,0.785821127262412,0.8614716418991528,0.9801884426857634,0.6052368375400261,0.3708544535522,1.0,0.972001195957632,0.7920139836304575,0.8610976762492212,0.9812650424141518,0.6045180005994046
Response,0.17088218684832834,0.6304955516470718,0.37576110819528274,0.9197416447084107,0.7527222782015721,0.8343779347050563,0.9587243856324761,0.5713051249502372,0.3154578898740466,0.9720011959576322,1.0,0.7495928029770204,0.824859406729936,0.9519388720109465,0.566856663520816
WT_DEPTH,0.14162606219843124,0.3339252142114747,0.09561643306567087,0.7139217551333374,0.6269829075737845,0.5875988299617033,0.7666300625164769,0.30420518377873795,0.13193710541867043,0.792013983630457,0.7495928029770199,1.0,0.5895766992432018,0.766002146012019,0.30704985860095885
WT_OSP,0.11297916763519567,0.4046113457178607,0.14246490493037897,0.7801946294407336,0.6007885133006082,0.6900276829891537,0.8368680377783422,0.352428004231778,0.1585145419775926,0.8610976762492208,0.8248594067299355,0.5895766992432018,1.0,0.8387370510023424,0.3636629376458837
WT_RSA,0.10850320007449712,0.6503100347782429,0.34725351643815755,0.921827215932928,0.7642286364452224,0.8369718295102059,0.965915433269313,0.5652362106423574,0.35227105752118776,0.9812650424141518,0.9519388720109463,0.7660021460120184,0.8387370510023424,1.0,0.5680947847744812
WT_SSE,0.1606853604015118,0.17936323266682067,0.31833464873470524,0.57235954956057,0.3065269736706156,0.3770154730898377,0.5744494821124237,0.8898901503394393,0.08657687728590924,0.6045180005994053,0.5668566635208162,0.3070498586009589,0.3636629376458838,0.5680947847744812,1.0
