,BETA,C,D,FGI,GAMMA,GB,IB,KGJ,KLG,KLJ,KSJ,KXG,KXGI,KXI,LAMBDA1,TAU
BETA,1.0,0.613732468014702,0.9612287612079425,0.8887201583117353,0.9948572600527793,0.9897551017858861,0.9948572600527791,0.3255011773884685,0.639261413517921,0.21491163651645526,0.1576920838243386,0.35112616592455653,3.8163916471489756e-07,0.3282598987906213,0.7917616507033541,0.9889337235432516
C,0.6137324680147018,1.0,0.5840320598429604,0.5767097690229621,0.615012588071824,0.6126723201037678,0.6154386722842585,0.11758354297473017,0.43165471045311665,0.11922638103478615,0.02811207015476721,0.5767239048600962,6.140921104957897e-06,0.24042884379829513,0.5989815306383094,0.6059529543169221
D,0.9612287612079425,0.5840320598429602,1.0,0.8491317367750356,0.9637236028848161,0.9581372399172975,0.9637236028848161,0.3021018283428011,0.6018754708913737,0.20858633129588292,0.1527900073373549,0.3260753645496611,4.440892098500626e-06,0.3018812474423287,0.7611316039167397,0.9572376094897985
FGI,0.8887201583117353,0.5767097690229622,0.8491317367750356,1.0,0.889809744820071,0.8838691647607811,0.8901047904997443,0.3229722829524136,0.5433127070865486,0.2162248889556046,0.14249780459807643,0.3452520116126346,2.706168622523819e-06,0.30737717186984415,0.7064788171660176,0.8852555661932151
GAMMA,0.9948572600527792,0.6150125880718241,0.9637236028848161,0.8898097448200708,1.0,0.9923028118856766,0.9973668201148155,0.32657259163964103,0.6393943051734995,0.2172009041606981,0.15562337424314235,0.3541961889094709,3.469446951953614e-07,0.3305913875407833,0.7952613090468702,0.9914875991958471
GB,0.9897551017858861,0.6126723201037678,0.9581372399172975,0.8838691647607809,0.9923028118856766,1.0,0.9923028118856766,0.3251948781940853,0.6328094392380974,0.21587997177475124,0.15409579710310126,0.3549713651511971,1.3877787807814457e-06,0.32690047361777136,0.7889281513796184,0.9863340150245001
IB,0.9948572600527792,0.6154386722842586,0.9637236028848161,0.8901047904997443,0.9973668201148155,0.9923028118856766,1.0,0.32737691831567295,0.6410321617414911,0.21599527179863273,0.15729738798168644,0.355673790960795,3.469446951953614e-07,0.3313822180335509,0.795591322233612,0.9914875991958471
KGJ,0.3255011773884685,0.11758354297473017,0.30210182834280114,0.3229722829524136,0.326572591639641,0.32519487819408527,0.32737691831567295,1.0,0.21345029450866296,0.3055275106303221,0.00622966035263067,0.11199153838519893,0.0,0.07894583636928074,0.2740599491099238,0.32930787752489726
KLG,0.6392614135179209,0.43165471045311665,0.6018754708913736,0.5433127070865486,0.6393943051734994,0.6328094392380973,0.641032161741491,0.21345029450866296,1.0,0.11620199226557938,0.04204773888931368,0.22838143712603248,5.7592819402429996e-06,0.22057299455128687,0.5335728270623912,0.636970205064146
KLJ,0.21491163651645528,0.11922638103478615,0.20858633129588292,0.2162248889556046,0.2172009041606981,0.21587997177475124,0.21599527179863276,0.30552751063032196,0.11620199226557938,1.0,0.004050018848980808,0.06468540000853676,8.569533971325427e-06,0.04833709115502154,0.21704654996219747,0.21969475841459132
KSJ,0.15769208382433858,0.02811207015476721,0.15279000733735487,0.14249780459807643,0.15562337424314235,0.15409579710310126,0.15729738798168644,0.00622966035263067,0.04204773888931368,0.004050018848980808,1.0,0.03238922205351833,0.0,0.0885189337035133,0.13553907410491617,0.1582251712886858
KXG,0.35112616592455664,0.5767239048600964,0.32607536454966113,0.3452520116126346,0.354196188909471,0.35497136515119715,0.35567379096079504,0.11199153838519896,0.22838143712603257,0.06468540000853673,0.03238922205351833,1.0,7.945033519973776e-06,0.1703508532991018,0.3698550436779214,0.3481476980538516
KXGI,3.8163916471489756e-07,6.140921104957897e-06,4.440892098500626e-06,2.706168622523819e-06,3.469446951953614e-07,1.3877787807814457e-06,3.469446951953614e-07,0.0,5.7592819402429996e-06,8.569533971325427e-06,0.0,7.945033519973776e-06,1.0,8.083811398051921e-06,4.2674197509029455e-06,5.204170427930421e-07
KXI,0.32825989879062134,0.24042884379829513,0.30188124744232875,0.3073771718698441,0.3305913875407835,0.3269004736177713,0.33138221803355095,0.07894583636928075,0.22057299455128693,0.04833709115502154,0.0885189337035133,0.17035085329910177,8.083811398051921e-06,1.0,0.24150956122536854,0.3325413065746188
LAMBDA1,0.7917616507033542,0.5989815306383094,0.7611316039167396,0.7064788171660178,0.7952613090468702,0.7889281513796186,0.7955913222336122,0.2740599491099239,0.5335728270623912,0.2170465499621974,0.13553907410491617,0.3698550436779213,4.2674197509029455e-06,0.24150956122536854,1.0,0.7897769217844361
TAU,0.9889337235432515,0.6059529543169222,0.9572376094897985,0.8852555661932151,0.9914875991958473,0.9863340150245001,0.9914875991958471,0.32930787752489726,0.636970205064146,0.21969475841459132,0.1582251712886858,0.3481476980538516,5.204170427930421e-07,0.3325413065746188,0.7897769217844361,1.0
